ccmaName,ccbaMnm1,ccbaCtcdNm,ccsiName,ccbaAdmin,ccbaKdcd,ccbaCtcd,ccbaAsno,ccbaCncl,ccbaCpno,longitude,latitude,gcodeName,bcodeName,mcodeName,scodeName,ccbaLcad,ccceName,b_class,b_reason,has_coord,grade_w
국보,장양수 홍패,경북,울진군,울＊＊＊,11,37,0001810000000,N,1113701810000,129.3822725,37.0008795,기록유산,문서류,국왕문서,교령류,<![CDATA[경상북도  울진군]]>,고려 희종 1년(1205),EXCLUDE,서책·문서 — 실내 소장품,Y,2.0
국보,천마총 금관,경북,경주시,국립경주박물관,11,37,0001880000000,N,1113701880000,129.227912382125,35.8293874259588,유물,생활공예,금속공예,장신구,"<![CDATA[경북 경주시 일정로 186, 국립경주박물관 (인왕동,국립경주박물관)]]>",신라시대,EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
국보,천마총 관모,경북,경주시,국립경주박물관,11,37,0001890000000,N,1113701890000,129.227912382125,35.8293874259588,유물,생활공예,금속공예,장신구,"<![CDATA[경북 경주시 일정로 186, 국립경주박물관 (인왕동,국립경주박물관)]]>",신라시대,EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
국보,천마총 금제 허리띠,경북,경주시,국립경주박물관,11,37,0001900000000,N,1113701900000,129.227912382125,35.8293874259588,유물,생활공예,금속공예,장신구,"<![CDATA[경북 경주시 일정로 186, 국립경주박물관 (인왕동,국립경주박물관)]]>",신라시대,EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
국보,황남대총 남분 금목걸이,경북,경주시,국립경주박물관,11,37,0001940000000,N,1113701940000,0,0,유물,생활공예,금속공예,장신구,"<![CDATA[경상북도 경주시 일정로 186 (인왕동, 국립경주박물관)]]>",신라시대,EXCLUDE,회화·공예·실내 조각 — 소장처 실내,N,2.0
국보,토우장식 장경호,경북,경주시,국립경주박물관,11,37,0001950000000,N,1113701950000,126.980350241652,37.5240413763397,유물,생활공예,토도자공예,토기,"<![CDATA[경상북도 경주시 일정로 186 (인왕동, 국립경주박물관) ]]>",신라시대,EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
국보,경주 단석산 신선사 마애불상군,경북,경주시,경주시,11,37,0001990000000,N,1113701990000,129.081942767651,35.796818018841,유물,불교조각,석조,불상,<![CDATA[경북 경주시 건천읍 단석산길 175-143 (송선리)]]>,신라시대,B2,야외 석불·마애불·암각화,Y,2.0
국보,경주 천마총 장니 천마도,경북,경주시,국립경주박물관,11,37,0002070000000,N,1111102070000,0,0,유물,일반회화,영모화조화,동물화,"<![CDATA[경상북도 경주시 일정로  186(인왕동, 국립경주박물관) ]]>",신라시대(5세기),EXCLUDE,회화·공예·실내 조각 — 소장처 실내,N,2.0
국보,경주 장항리 서 오층석탑,경북,경주시,경주시,11,37,0002360000000,N,1113702360000,129.372992687772,35.7748660668149,유적건조물,종교신앙,불교,탑,<![CDATA[경북 경주시 양북면 장항리 1083번지]]>,통일신라시대 8세기,B2,석조물,Y,2.0
국보,울진 봉평리 신라비,경북,울진군,울진군,11,37,0002420000000,N,1113702420000,129.4091392,37.04460792,기록유산,서각류,금석각류,비,<![CDATA[경북 울진군 죽변면 봉평리 521번지 전시관 내부 전시 / (도로명)죽변면 봉화길 15]]>,524년(법흥왕11년) 추정,EXCLUDE,서책·문서 — 실내 소장품,Y,2.0
