line_id,seq,lat,lon,sgg,con,coast_type,island,stat
574,5,35.732248,129.485937,경주시,natural,모래,N,Y
574,6,35.732093,129.48601,경주시,natural,모래,N,Y
574,7,35.731893,129.486001,경주시,natural,모래,N,Y
574,8,35.731714,129.485964,경주시,natural,모래,N,Y
574,9,35.731464,129.485928,경주시,natural,모래,N,Y
574,10,35.731325,129.485917,경주시,natural,모래,N,Y
574,11,35.731141,129.48591,경주시,natural,모래,N,Y
574,12,35.730976,129.485908,경주시,natural,모래,N,Y
574,13,35.730721,129.485914,경주시,natural,모래,N,Y
574,14,35.730551,129.485935,경주시,natural,모래,N,Y
574,15,35.730394,129.485963,경주시,natural,모래,N,Y
574,16,35.730256,129.486005,경주시,natural,모래,N,Y
574,17,35.730224,129.486023,경주시,natural,모래,N,Y
589,0,36.811205,129.456674,울진군,natural,모래,N,Y
589,1,36.811337,129.456738,울진군,natural,모래,N,Y
589,2,36.811458,129.45686,울진군,natural,모래,N,Y
589,3,36.81153,129.456959,울진군,natural,모래,N,Y
667,0,35.898443,129.530517,포항시,natural,자갈,N,Y
667,1,35.898366,129.530297,포항시,natural,자갈,N,Y
667,2,35.898271,129.530146,포항시,natural,자갈,N,Y
667,3,35.898149,129.53003,포항시,natural,자갈,N,Y
667,4,35.898103,129.529968,포항시,natural,자갈,N,Y
702,0,36.640629,129.419401,영덕군,natural,암반,N,Y
702,1,36.640502,129.419323,영덕군,natural,암반,N,Y
702,2,36.640537,129.419266,영덕군,natural,암반,N,Y
720,0,36.056042,129.524781,포항시,natural,암반,N,Y
720,1,36.056165,129.524703,포항시,natural,암반,N,Y
720,2,36.056278,129.524611,포항시,natural,암반,N,Y
720,3,36.056232,129.524453,포항시,natural,암반,N,Y
720,4,36.056377,129.524427,포항시,natural,암반,N,Y
720,5,36.056493,129.524336,포항시,natural,암반,N,Y
720,6,36.056579,129.52448,포항시,natural,암반,N,Y
720,7,36.056746,129.524492,포항시,natural,암반,N,Y
720,8,36.05688,129.524451,포항시,natural,암반,N,Y
720,9,36.056943,129.524263,포항시,natural,암반,N,Y
720,10,36.05708,129.524271,포항시,natural,암반,N,Y
720,11,36.057158,129.524414,포항시,natural,암반,N,Y
720,12,36.05703,129.524358,포항시,natural,암반,N,Y
720,13,36.056999,129.524524,포항시,natural,암반,N,Y
720,14,36.05709,129.524648,포항시,natural,암반,N,Y
720,15,36.057178,129.524774,포항시,natural,암반,N,Y
720,16,36.057311,129.524743,포항시,natural,암반,N,Y
720,17,36.057444,129.524778,포항시,natural,암반,N,Y
720,18,36.057522,129.524914,포항시,natural,암반,N,Y
720,19,36.057635,129.525006,포항시,natural,암반,N,Y
720,20,36.057713,129.525144,포항시,natural,암반,N,Y
720,21,36.057779,129.524998,포항시,natural,암반,N,Y
720,22,36.057905,129.525062,포항시,natural,암반,N,Y
720,23,36.05797,129.525221,포항시,natural,암반,N,Y
720,24,36.057983,129.525394,포항시,natural,암반,N,Y
720,25,36.057901,129.525545,포항시,natural,암반,N,Y
720,26,36.057752,129.525378,포항시,natural,암반,N,Y
720,27,36.057734,129.525213,포항시,natural,암반,N,Y
720,28,36.057712,129.525377,포항시,natural,암반,N,Y
720,29,36.057778,129.525529,포항시,natural,암반,N,Y
720,30,36.057745,129.525698,포항시,natural,암반,N,Y
720,31,36.057879,129.525671,포항시,natural,암반,N,Y
720,32,36.057861,129.525861,포항시,natural,암반,N,Y
720,33,36.057988,129.525806,포항시,natural,암반,N,Y
720,34,36.058078,129.525678,포항시,natural,암반,N,Y
720,35,36.058212,129.525762,포항시,natural,암반,N,Y
720,36,36.058056,129.525847,포항시,natural,암반,N,Y
720,37,36.058169,129.525939,포항시,natural,암반,N,Y
720,38,36.05828,129.526066,포항시,natural,암반,N,Y
720,39,36.058233,129.52623,포항시,natural,암반,N,Y
720,40,36.058297,129.526377,포항시,natural,암반,N,Y
720,41,36.058202,129.526556,포항시,natural,암반,N,Y
720,42,36.058033,129.526576,포항시,natural,암반,N,Y
720,43,36.057917,129.526484,포항시,natural,암반,N,Y
720,44,36.05788,129.526645,포항시,natural,암반,N,Y
720,45,36.057745,129.526647,포항시,natural,암반,N,Y
720,46,36.057662,129.526592,포항시,natural,암반,N,Y
738,0,35.843942,129.517599,포항시,artificial,부두,N,Y
738,1,35.844143,129.517639,포항시,artificial,부두,N,Y
738,2,35.844279,129.51772,포항시,artificial,부두,N,Y
738,3,35.844304,129.517906,포항시,artificial,부두,N,Y
738,4,35.844473,129.518039,포항시,artificial,부두,N,Y
750,0,35.762482,129.494393,경주시,natural,자갈,N,Y
750,1,35.762358,129.494465,경주시,natural,자갈,N,Y
750,2,35.762234,129.494535,경주시,natural,자갈,N,Y
750,3,35.762102,129.494478,경주시,natural,자갈,N,Y
750,4,35.761942,129.494476,경주시,natural,자갈,N,Y
750,5,35.761792,129.494365,경주시,natural,자갈,N,Y
750,6,35.761647,129.494286,경주시,natural,자갈,N,Y
750,7,35.761588,129.494266,경주시,natural,자갈,N,Y
759,0,35.655671,129.4514,경주시,natural,모래,N,Y
759,1,35.655841,129.451341,경주시,natural,모래,N,Y
759,2,35.655985,129.451354,경주시,natural,모래,N,Y
759,3,35.656126,129.451395,경주시,natural,모래,N,Y
759,4,35.65626,129.451458,경주시,natural,모래,N,Y
836,0,36.323178,129.381663,영덕군,artificial,방벽,N,Y
836,1,36.323354,129.381633,영덕군,artificial,방벽,N,Y
836,2,36.32353,129.381568,영덕군,artificial,방벽,N,Y
836,3,36.323622,129.381565,영덕군,artificial,방벽,N,Y
851,0,36.028972,129.58212,포항시,natural,암반,N,Y
851,1,36.029042,129.582302,포항시,natural,암반,N,Y
851,2,36.02908,129.582138,포항시,natural,암반,N,Y
851,3,36.029137,129.582091,포항시,natural,암반,N,Y
874,0,37.127959,129.371305,울진군,natural,암반,N,Y
874,1,37.128053,129.371465,울진군,natural,암반,N,Y
874,2,37.128112,129.371645,울진군,natural,암반,N,Y
874,3,37.128172,129.371801,울진군,natural,암반,N,Y
874,4,37.128249,129.371946,울진군,natural,암반,N,Y
874,5,37.128399,129.371933,울진군,natural,암반,N,Y
874,6,37.128428,129.371878,울진군,natural,암반,N,Y
877,0,36.025377,129.577659,포항시,natural,자갈,N,Y
877,1,36.025183,129.577539,포항시,natural,자갈,N,Y
877,2,36.025059,129.57746,포항시,natural,자갈,N,Y
877,3,36.024969,129.577329,포항시,natural,자갈,N,Y
877,4,36.02487,129.577216,포항시,natural,자갈,N,Y
877,5,36.024737,129.577185,포항시,natural,자갈,N,Y
877,6,36.024608,129.577176,포항시,natural,자갈,N,Y
902,0,36.932196,129.418074,울진군,natural,암반,N,Y
902,1,36.932173,129.417977,울진군,natural,암반,N,Y
911,0,36.051954,129.579268,포항시,natural,암반,Y,Y
911,1,36.051857,129.579142,포항시,natural,암반,Y,Y
911,2,36.051827,129.579306,포항시,natural,암반,Y,Y
911,3,36.051859,129.579468,포항시,natural,암반,Y,Y
911,4,36.051942,129.579326,포항시,natural,암반,Y,Y
911,5,36.051954,129.579268,포항시,natural,암반,Y,Y
926,0,36.804979,129.458451,울진군,natural,자갈,N,Y
926,1,36.805186,129.45841,울진군,natural,자갈,N,Y
926,2,36.805325,129.458419,울진군,natural,자갈,N,Y
926,3,36.805486,129.458475,울진군,natural,자갈,N,Y
926,4,36.805629,129.458527,울진군,natural,자갈,N,Y
926,5,36.80578,129.458574,울진군,natural,자갈,N,Y
926,6,36.805937,129.458516,울진군,natural,자갈,N,Y
926,7,36.806,129.458366,울진군,natural,자갈,N,Y
926,8,36.806126,129.4583,울진군,natural,자갈,N,Y
926,9,36.806187,129.458271,울진군,natural,자갈,N,Y
929,0,35.748228,129.488735,경주시,artificial,방벽,N,Y
929,1,35.748278,129.488666,경주시,artificial,방벽,N,Y
963,0,35.952829,129.545604,포항시,artificial,방벽,N,Y
963,1,35.952896,129.545448,포항시,artificial,방벽,N,Y
1018,0,36.691049,129.468061,울진군,natural,자갈,N,Y
1018,1,36.69121,129.468097,울진군,natural,자갈,N,Y
1018,2,36.691277,129.468119,울진군,natural,자갈,N,Y
1072,0,36.942591,129.420217,울진군,natural,모래,N,Y
1072,1,36.942443,129.420241,울진군,natural,모래,N,Y
1072,2,36.942279,129.420158,울진군,natural,모래,N,Y
1072,3,36.942138,129.42015,울진군,natural,모래,N,Y
1072,4,36.941965,129.420141,울진군,natural,모래,N,Y
1072,5,36.941829,129.420132,울진군,natural,모래,N,Y
1072,6,36.941811,129.420263,울진군,natural,모래,N,Y
1131,0,36.989816,129.414989,울진군,artificial,방벽,N,Y
1131,1,36.989715,129.414868,울진군,artificial,방벽,N,Y
1131,2,36.989582,129.414709,울진군,artificial,방벽,N,Y
1131,3,36.989481,129.414593,울진군,artificial,방벽,N,Y
1131,4,36.989314,129.414412,울진군,artificial,방벽,N,Y
1131,5,36.989157,129.414263,울진군,artificial,방벽,N,Y
1131,6,36.989035,129.414151,울진군,artificial,방벽,N,Y
1131,7,36.988918,129.414058,울진군,artificial,방벽,N,Y
1131,8,36.988788,129.413991,울진군,artificial,방벽,N,Y
1131,9,36.988611,129.413926,울진군,artificial,방벽,N,Y
1131,10,36.98846,129.413874,울진군,artificial,방벽,N,Y
1131,11,36.988318,129.413842,울진군,artificial,방벽,N,Y
1131,12,36.988179,129.413839,울진군,artificial,방벽,N,Y
1131,13,36.988088,129.413832,울진군,artificial,방벽,N,Y
1134,0,35.66518,129.460095,경주시,natural,암반,Y,Y
1134,1,35.66518,129.460095,경주시,natural,암반,Y,Y
1171,0,36.324384,129.381249,영덕군,natural,암반,N,Y
1171,1,36.324275,129.381352,영덕군,natural,암반,N,Y
1171,2,36.324326,129.381507,영덕군,natural,암반,N,Y
1171,3,36.324432,129.381398,영덕군,natural,암반,N,Y
1171,4,36.324557,129.381465,영덕군,natural,암반,N,Y
1171,5,36.324689,129.381394,영덕군,natural,암반,N,Y
1171,6,36.324679,129.381218,영덕군,natural,암반,N,Y
1171,7,36.324679,129.381212,영덕군,natural,암반,N,Y
1178,0,36.791983,129.462352,울진군,natural,암반,N,Y
1178,1,36.792088,129.462466,울진군,natural,암반,N,Y
1178,2,36.792106,129.4623,울진군,natural,암반,N,Y
1178,3,36.792229,129.462585,울진군,natural,암반,N,Y
1178,4,36.792333,129.462473,울진군,natural,암반,N,Y
1178,5,36.792383,129.462641,울진군,natural,암반,N,Y
1178,6,36.792421,129.462806,울진군,natural,암반,N,Y
1178,7,36.792556,129.462784,울진군,natural,암반,N,Y
1178,8,36.792647,129.46266,울진군,natural,암반,N,Y
1178,9,36.792788,129.462669,울진군,natural,암반,N,Y
1178,10,36.792926,129.462737,울진군,natural,암반,N,Y
1178,11,36.793034,129.462846,울진군,natural,암반,N,Y
1178,12,36.793082,129.463008,울진군,natural,암반,N,Y
1178,13,36.793066,129.463175,울진군,natural,암반,N,Y
1178,14,36.793198,129.4631,울진군,natural,암반,N,Y
1178,15,36.793289,129.46324,울진군,natural,암반,N,Y
1178,16,36.793425,129.463207,울진군,natural,암반,N,Y
1178,17,36.793546,129.463112,울진군,natural,암반,N,Y
1178,18,36.79364,129.463234,울진군,natural,암반,N,Y
1178,19,36.793709,129.46309,울진군,natural,암반,N,Y
1178,20,36.793841,129.462987,울진군,natural,암반,N,Y
1178,21,36.793804,129.46282,울진군,natural,암반,N,Y
1178,22,36.793919,129.462911,울진군,natural,암반,N,Y
1178,23,36.794066,129.462959,울진군,natural,암반,N,Y
1178,24,36.794153,129.462825,울진군,natural,암반,N,Y
1178,25,36.794272,129.462907,울진군,natural,암반,N,Y
1178,26,36.794393,129.462833,울진군,natural,암반,N,Y
1178,27,36.794527,129.462808,울진군,natural,암반,N,Y
1178,28,36.794644,129.462716,울진군,natural,암반,N,Y
1178,29,36.794772,129.462658,울진군,natural,암반,N,Y
1178,30,36.794848,129.462515,울진군,natural,암반,N,Y
1178,31,36.79497,129.462339,울진군,natural,암반,N,Y
1178,32,36.795069,129.462472,울진군,natural,암반,N,Y
1178,33,36.795079,129.462653,울진군,natural,암반,N,Y
1178,34,36.795187,129.462532,울진군,natural,암반,N,Y
1178,35,36.79527,129.462675,울진군,natural,암반,N,Y
1178,36,36.795402,129.462638,울진군,natural,암반,N,Y
1178,37,36.795462,129.462788,울진군,natural,암반,N,Y
1178,38,36.795571,129.462686,울진군,natural,암반,N,Y
1178,39,36.795561,129.462858,울진군,natural,암반,N,Y
1178,40,36.795705,129.462954,울진군,natural,암반,N,Y
1178,41,36.795867,129.462882,울진군,natural,암반,N,Y
1178,42,36.795995,129.462801,울진군,natural,암반,N,Y
1178,43,36.79609,129.462949,울진군,natural,암반,N,Y
1178,44,36.796224,129.462974,울진군,natural,암반,N,Y
1178,45,36.796179,129.462808,울진군,natural,암반,N,Y
1178,46,36.79631,129.462858,울진군,natural,암반,N,Y
1178,47,36.7964,129.462993,울진군,natural,암반,N,Y
1178,48,36.796433,129.462764,울진군,natural,암반,N,Y
1178,49,36.796314,129.462676,울진군,natural,암반,N,Y
1178,50,36.79644,129.462574,울진군,natural,암반,N,Y
1178,51,36.796582,129.462586,울진군,natural,암반,N,Y
1178,52,36.796507,129.462446,울진군,natural,암반,N,Y
1178,53,36.796581,129.462305,울진군,natural,암반,N,Y
1178,54,36.796674,129.462133,울진군,natural,암반,N,Y
1178,55,36.796644,129.461972,울진군,natural,암반,N,Y
1196,0,36.339623,129.382211,영덕군,natural,암반,N,Y
1196,1,36.339636,129.382246,영덕군,natural,암반,N,Y
1207,0,36.016741,129.487172,포항시,artificial,방파제,N,Y
1207,1,36.017105,129.487295,포항시,artificial,방파제,N,Y
1207,2,36.016925,129.487319,포항시,artificial,방파제,N,Y
1207,3,36.01677,129.487294,포항시,artificial,방파제,N,Y
1207,4,36.016821,129.487517,포항시,artificial,방파제,N,Y
1207,5,36.016715,129.487277,포항시,artificial,방파제,N,Y
1207,6,36.016669,129.48706,포항시,artificial,방파제,N,Y
1224,0,36.259725,129.374854,포항시,natural,암반,N,Y
1224,1,36.259592,129.374822,포항시,natural,암반,N,Y
1224,2,36.259571,129.374987,포항시,natural,암반,N,Y
1224,3,36.259452,129.3749,포항시,natural,암반,N,Y
1224,4,36.259312,129.374846,포항시,natural,암반,N,Y
1224,5,36.259301,129.374656,포항시,natural,암반,N,Y
1224,6,36.259221,129.374503,포항시,natural,암반,N,Y
1224,7,36.259142,129.37464,포항시,natural,암반,N,Y
1224,8,36.259078,129.374491,포항시,natural,암반,N,Y
1224,9,36.259033,129.374648,포항시,natural,암반,N,Y
1224,10,36.25893,129.374537,포항시,natural,암반,N,Y
1224,11,36.258881,129.374411,포항시,natural,암반,N,Y
1237,0,36.063204,129.387967,포항시,artificial,방벽,N,Y
1237,1,36.063049,129.387826,포항시,artificial,방벽,N,Y
1237,2,36.063038,129.387808,포항시,artificial,방벽,N,Y
1268,0,36.352364,129.387812,영덕군,artificial,미분류,N,Y
1268,1,36.35236,129.38785,영덕군,artificial,미분류,N,Y
1317,0,36.622665,129.412346,영덕군,natural,모래,N,Y
1317,1,36.622547,129.412232,영덕군,natural,모래,N,Y
1317,2,36.622425,129.41215,영덕군,natural,모래,N,Y
1317,3,36.622288,129.412096,영덕군,natural,모래,N,Y
1324,0,35.945519,129.538833,포항시,artificial,방벽,N,Y
1324,1,35.945416,129.539062,포항시,artificial,방벽,N,Y
1324,2,35.945322,129.539268,포항시,artificial,방벽,N,Y
1324,3,35.945469,129.539502,포항시,artificial,방벽,N,Y
1324,4,35.945592,129.539585,포항시,artificial,방벽,N,Y
1324,5,35.945828,129.539718,포항시,artificial,방벽,N,Y
1324,6,35.946036,129.539834,포항시,artificial,방벽,N,Y
1324,7,35.946187,129.539921,포항시,artificial,방벽,N,Y
1350,0,35.944697,129.536601,포항시,artificial,방파제,N,Y
1350,1,35.944367,129.536592,포항시,artificial,방파제,N,Y
1350,2,35.944156,129.536594,포항시,artificial,방파제,N,Y
1350,3,35.944006,129.536534,포항시,artificial,방파제,N,Y
1350,4,35.943772,129.53634,포항시,artificial,방파제,N,Y
1350,5,35.944028,129.536462,포항시,artificial,방파제,N,Y
1350,6,35.944561,129.536484,포항시,artificial,방파제,N,Y
1359,0,36.044959,129.582115,포항시,artificial,방벽,N,Y
1359,1,36.044969,129.582129,포항시,artificial,방벽,N,Y
1436,0,36.398151,129.417234,영덕군,natural,모래,N,Y
1436,1,36.397991,129.417121,영덕군,natural,모래,N,Y
1436,2,36.397887,129.417078,영덕군,natural,모래,N,Y
1484,0,36.016669,129.48706,포항시,artificial,부두,N,Y
1484,1,36.016505,129.487066,포항시,artificial,부두,N,Y
1529,0,36.013197,129.580993,포항시,artificial,방벽,N,Y
1529,1,36.013174,129.580966,포항시,artificial,방벽,N,Y
1569,0,36.067632,129.569552,포항시,artificial,부두,N,Y
1569,1,36.06722,129.569525,포항시,artificial,부두,N,Y
1569,2,36.06713,129.569507,포항시,artificial,부두,N,Y
1614,0,36.482294,129.435517,영덕군,artificial,방파제,N,Y
1614,1,36.482136,129.43554,영덕군,artificial,방파제,N,Y
1614,2,36.481808,129.43545,영덕군,artificial,방파제,N,Y
1614,3,36.48165,129.435407,영덕군,artificial,방파제,N,Y
1614,4,36.481514,129.435367,영덕군,artificial,방파제,N,Y
1614,5,36.481329,129.43535,영덕군,artificial,방파제,N,Y
1614,6,36.481531,129.435508,영덕군,artificial,방파제,N,Y
1614,7,36.481826,129.435601,영덕군,artificial,방파제,N,Y
1614,8,36.481991,129.435652,영덕군,artificial,방파제,N,Y
1614,9,36.482129,129.435692,영덕군,artificial,방파제,N,Y
1614,10,36.482319,129.435674,영덕군,artificial,방파제,N,Y
1614,11,36.482482,129.435657,영덕군,artificial,방파제,N,Y
1614,12,36.482637,129.435639,영덕군,artificial,방파제,N,Y
1614,13,36.482803,129.435623,영덕군,artificial,방파제,N,Y
1614,14,36.482943,129.43561,영덕군,artificial,방파제,N,Y
1614,15,36.483087,129.435597,영덕군,artificial,방파제,N,Y
1614,16,36.483284,129.435577,영덕군,artificial,방파제,N,Y
1614,17,36.48343,129.435601,영덕군,artificial,방파제,N,Y
1614,18,36.483587,129.435561,영덕군,artificial,방파제,N,Y
1614,19,36.483751,129.435498,영덕군,artificial,방파제,N,Y
1614,20,36.483906,129.43544,영덕군,artificial,방파제,N,Y
1629,0,35.961509,129.549553,포항시,natural,자갈,N,Y
1629,1,35.96137,129.549531,포항시,natural,자갈,N,Y
1629,2,35.961227,129.549544,포항시,natural,자갈,N,Y
1629,3,35.961037,129.549618,포항시,natural,자갈,N,Y
1629,4,35.96092,129.549685,포항시,natural,자갈,N,Y
1680,0,36.478967,129.433077,영덕군,natural,모래자갈,N,Y
1680,1,36.478868,129.433224,영덕군,natural,모래자갈,N,Y
1680,2,36.478811,129.433438,영덕군,natural,모래자갈,N,Y
1680,3,36.478722,129.433575,영덕군,natural,모래자갈,N,Y
1680,4,36.478545,129.43351,영덕군,natural,모래자갈,N,Y
1680,5,36.478373,129.433566,영덕군,natural,모래자갈,N,Y
1701,0,36.358668,129.391631,영덕군,artificial,방벽,N,Y
1701,1,36.358759,129.391771,영덕군,artificial,방벽,N,Y
1701,2,36.358864,129.391932,영덕군,artificial,방벽,N,Y
1701,3,36.358862,129.39214,영덕군,artificial,방벽,N,Y
1701,4,36.358901,129.392314,영덕군,artificial,방벽,N,Y
1701,5,36.358971,129.392464,영덕군,artificial,방벽,N,Y
1701,6,36.359065,129.392614,영덕군,artificial,방벽,N,Y
1701,7,36.359066,129.392804,영덕군,artificial,방벽,N,Y
1701,8,36.35909,129.392993,영덕군,artificial,방벽,N,Y
1701,9,36.359129,129.393173,영덕군,artificial,방벽,N,Y
1701,10,36.359195,129.393321,영덕군,artificial,방벽,N,Y
1701,11,36.359261,129.393537,영덕군,artificial,방벽,N,Y
1701,12,36.359258,129.393723,영덕군,artificial,방벽,N,Y
1701,13,36.359422,129.393755,영덕군,artificial,방벽,N,Y
1701,14,36.359587,129.393755,영덕군,artificial,방벽,N,Y
1701,15,36.359735,129.393757,영덕군,artificial,방벽,N,Y
1701,16,36.359906,129.393756,영덕군,artificial,방벽,N,Y
1701,17,36.360058,129.393758,영덕군,artificial,방벽,N,Y
1701,18,36.360222,129.393735,영덕군,artificial,방벽,N,Y
1701,19,36.360378,129.393772,영덕군,artificial,방벽,N,Y
1701,20,36.360515,129.3938,영덕군,artificial,방벽,N,Y
1701,21,36.360589,129.393975,영덕군,artificial,방벽,N,Y
1701,22,36.36066,129.394165,영덕군,artificial,방벽,N,Y
1701,23,36.360749,129.394332,영덕군,artificial,방벽,N,Y
1701,24,36.360851,129.394478,영덕군,artificial,방벽,N,Y
1701,25,36.360957,129.394594,영덕군,artificial,방벽,N,Y
1701,26,36.361075,129.394694,영덕군,artificial,방벽,N,Y
1701,27,36.36121,129.394779,영덕군,artificial,방벽,N,Y
