way_id,lat,lon,name
38478934,37.015964557575764,129.39855657272727,울진농공단지
153284851,35.668096180357146,129.32559260357144,문산공단
153732596,35.86377007741935,128.82954437419355,진량공단
202576440,36.0103121626943,129.4001921849741,포항제철소
251736353,35.89421480833334,128.84732359166665,
252226588,35.89231663888889,128.82547064444444,
253346188,35.89005573428572,128.83493977428571,양산협업단지 (Yangsan Coorperative Complex)
366905893,35.64650572857143,129.36451058571427,매곡일반산업단지
468449560,35.82616548181818,128.82128693333334,자인공단
469404053,35.70632784375,129.20725893125,두동 농공단지
470207429,37.105808257894736,129.0051761631579,대한석탄공사 장성광업소
472316045,36.91229656666667,128.86105870833333,
472316050,36.912870299999994,128.85636746,봉화변전소
486771733,37.130535322727276,129.03886797727273,태백철암농공단지
486771746,37.1162967,129.03291816623377,
486771792,37.043427665853656,129.05728027560977,영풍석포제련소1공장
486771794,37.041180690909094,129.05308427272726,영풍석포제련소 2공장
489779021,36.00670004705882,129.37623304117648,현대제철 포항1공장
535912217,35.7711474375,129.3060185125,경주법주
588779764,35.96021841272727,129.37843539272728,
643346016,35.9892257,129.37028184000002,한국시멘트 포항공장
643346018,35.987358285714286,129.37265685714286,TCC동양
643451563,35.97525013,129.37843664,엔아이스틸
643451569,35.9699829,129.36999534615384,동국제강 포항공장
643451572,35.97636733529412,129.3696702647059,현대제철 포항제2공장
643760632,35.99223108571429,129.36270385714286,한라시멘트 포항공장
643760635,35.9941199,129.36370521999999,한일시멘트 포항공장
649232827,36.002082949999995,129.4165817125,포스코퓨처엠
649232830,35.99846128,129.41176716857143,OCI 주식회사 포항공장
690727133,35.56031985,129.152794025,Topind
690727592,35.55988954,129.1534245,남경산업
690727777,35.5583228,129.1511929,세일산업
690728243,35.56112254,129.15271046,에코캡 2공장
690729703,35.5614345125,129.1536046875,SIS
690729930,35.561622183333334,129.15213091666666,(주)세한산업
690730097,35.557790940000004,129.15204033999999,TopInd 2공장
690730278,35.56031948,129.14984662,삼성기전
690730436,35.55962264,129.15082026,(주)건웅
690730695,35.55727658,129.15155354,LOFA
702571470,35.94235673888889,129.41791289444444,
702571475,35.945456730000004,129.2658288,
702571476,35.93781629047619,129.27025149047617,
813327381,35.93589888823529,128.82468591568627,경산지식산업지구
814635245,36.03222892,129.4173639,포항 부생가스복합발전소
814635249,37.18494764945055,129.34145084725276,삼척그린파워발전소
818682270,35.56170240588236,129.37441529411765,현대시트공장
825061675,35.867859337704914,128.84339629590164,경산4일반산업단지
830258805,35.959178083333335,129.3086167666667,경주강동일반산업단지
832675236,35.5975565,129.0778508888889,
832675237,35.60437008333333,129.07387205,
832675238,35.6051804,129.07407966666668,
832675239,35.60573858,129.07395262,
832675240,35.60655766,129.07371604,
832675241,35.607603366666666,129.07331363333333,
832675242,35.60898121666667,129.07310485000002,
832675243,35.59054864,129.08329154,
832675244,35.58950124,129.08396422,
832675245,35.58287178333333,129.09092091666665,
832675246,35.58252671428572,129.0925758142857,
832675247,35.58065615,129.0932272375,
832675248,35.579400175,129.0947416875,
832675252,35.55862012,129.1470058,
845659445,35.87506247,129.21583393,일진 1공장
846586205,35.866468133333335,128.81937990666668,경산1-1일반산업단지
912827444,36.03645556,129.4021211,
916517919,35.910933622222224,128.9513529484127,영천첨단부품소재 일반산업단지
916517922,35.91914605882353,128.95116175294118,본촌산업단지
916517924,35.92794592179487,128.94236345256408,영천도남농공단지
916517926,35.928815415,128.94555373999998,
916882716,35.960275360000004,129.42540563,
916882722,35.96135034444445,129.4240776722222,Motor Pool
916897720,35.954849805882354,129.4279821117647,
917044987,35.96209904285714,129.4189675,
917044990,35.96221183,129.41956861,
917044996,35.96193691818182,129.4201726,
917045086,35.960565333333335,129.42487903333333,
956131961,36.03528662,129.4016909,
1037001595,36.07224633571429,129.5688765857143,극동수산
1037295813,37.16904111875,129.345909290625,한국가스공사 삼척 LNG기지
1064886227,35.63967537692307,129.36719486410254,매곡3일반산업단지
1064886283,35.6517389375,129.36394755625,매곡2일반산업단지
1074419858,35.65393543333333,129.3571597972222,중산일반산업단지
1074419969,35.66232727142857,129.35249500714286,중산2차일반산업단지
1099243313,36.00443857333333,129.02907729333333,
1099292600,36.73300019375,129.439040234375,평해농공단지
1109928647,36.7338381,129.1008919142857,해담는집 가공공장
1117615784,35.86121655032258,128.80371893741938,
1117615786,35.847035215,128.814079645,
1117615787,35.84462485428571,128.81401211142855,
1117615788,35.84529952,128.81672038666667,
1117615789,35.83915024090909,128.81592725,
1136595893,35.9897090375,128.9595540375,
1136595894,35.98493066666666,128.9595222,
1148118527,35.870649676666666,129.06892237,건천농공단지
1148125972,35.87417230416667,129.08763315833332,건천용명일반산업단지
1161189579,35.953388225,128.816729028125,
1161189584,35.95091525294118,128.80899286470589,
1168285793,35.92612406,129.197530028,검단 산업단지 (예정)
1175516350,35.54356310769231,129.37861942564103,
1175516351,35.5700335,129.36908961346154,효문산업단지
1175516352,35.568799742857145,129.37697252,모듈화 일반산업단지
1175516353,35.58171335238095,129.3739235857143,모듈화 일반산업단지
1175849645,35.668793545,129.17151186,두서농공단지
1177450844,35.72541895405405,129.34570152702702,입실산업공단
1177450845,35.72831036029412,129.3343441029412,개곡공단
1194895659,35.91673273333333,128.88136308,
1194895660,35.915738771875,128.890472915625,
1196816746,35.972084360869566,129.22554679565218,
1206543374,36.09722203170732,129.41090546341462,영일만일반산업단지
1217281315,35.70160254615384,129.31583943461538,
1217281316,35.69671865833333,129.33573878333334,
1217281317,35.683515613333334,129.32490904,모화일반산업단지
1217281318,35.68185588181819,129.31729617272728,
1217315455,35.68160287692307,129.34950042564103,
1243519643,36.86368435833334,129.37542845,울진현종산풍력발전소
1258106082,37.170493675,129.0396146875,
1273745866,35.935147883333336,128.88426711666668,
1273745867,35.934981099999995,128.88452885555554,
1278647865,37.11228834166667,129.034694375,태백(철암) 전자파플라즈마가스화
1278659389,35.98318196842106,129.39296685789475,포항호동 매립장 LFG
1278659391,35.924353325,128.92995896875,영천 유기성폐기물광역에너지화시설
1278705354,35.9800021,129.4824988,포항 연료전지
1278712517,35.55413554,129.3657137,대원그린 연료전지
1281445703,37.197798633333335,129.00392044444445,태백 매립소각장
1283714640,36.451792733333335,129.40668164285714,매정농공단지
1292902461,36.39186364035088,129.3648089122807,영덕농공단지
1294777351,35.728479664,129.473327048,
1294777353,35.72928194,129.47889994,
1294777358,35.7205932076923,129.48206755384615,
1294777359,35.715407860645165,129.4761350419355,
1294778237,35.72341751538461,129.4705418653846,
1296059114,35.70571319285715,129.4708921857143,
1303654632,35.63700643166667,129.31788556833334,모바일테크밸리일반산업단지
1303654636,35.63778073111111,129.31439527999999,달천농공단지
1304567958,36.156416835294124,129.35516773529412,
1305127826,37.09145802857143,129.37225195714285,
1305127827,37.089373325,129.3727110375,
1305127950,37.08058479230769,129.37731513846154,
1305128012,37.086677075,129.37838883749998,
1305128040,37.09271205,129.3733683875,
1305128041,37.09548187,129.371634905,
1305128049,37.087652389072844,129.38662457516557,
1305128434,37.07770386666667,129.39174558333335,
1305128464,37.07404265833333,129.40276622083334,
1315439555,36.17633434255319,129.33457181276594,포항청하농공단지
1318043208,36.286312865625,129.144649353125,부남광산
1319280070,36.16928755,129.37174496111112,고은산업
1319280071,36.16898211428572,129.3694539857143,삼신
1319280072,36.16985394375,129.3679679875,삼정산업
1321557472,36.16556524,129.35285176,디에스텍 포항공장
1323355302,36.115129390625,129.40937515625,현대힘스 포항2공장
1323355313,36.11863976666667,129.40936615333334,포스코티엠씨 포항공장
1323355314,36.117075383333336,129.41124128333334,넥스틸 포항3공장
1323355315,36.11615536666667,129.41420553333333,강림중공업 포항공장
1323355316,36.112413933333336,129.41874097500002,HD현대중공업 포항공장
1323355317,36.11444034444444,129.4117261111111,포스코플랜텍 신항만공장
1323355318,36.11293653333333,129.41021642222222,메타즈
1323355319,36.11167908,129.4148963,삼민중공업
1323578358,36.10805456,129.41855291333334,에너지머티리얼즈
1323578359,36.10346428333334,129.41836873333332,포스코퓨처엠 포항양극재공장
1331760941,35.87759001111111,129.22302215555555,발레오전장시스템스코리아
1331760952,35.8763829125,129.219726525,에코플라스틱 3공장
1331760954,35.8762785,129.22151146000002,에코플라스틱
1331760955,35.87544114,129.2232346,에코플라스틱1공장
1331760956,35.87651466,129.2235566,명신산업
1331764441,35.874656877777774,129.21956247777777,
1331764442,35.87378235833334,129.22247656666667,일진베어링 3공장
1331764477,35.874558845454544,129.22523545454544,일진베어링 1공장
1331764480,35.876128668,129.225740796,남양유업 경주공장
1331764489,35.87906311764706,129.21971768235295,태광산업 경주공장
1331764490,35.87685346666667,129.21754917777778,태광산업 경주공장
1331798335,35.87553262,129.21825206,피엠씨바이오제닉스코리아
1331798341,35.87287386666667,129.21579886666666,에이엠씨
1331798354,35.87406667142857,129.2169704,
1331798355,35.87195201764706,129.22084874705882,일진베어링 2공장
1331798357,35.87076903888889,129.22057441666666,발레오전장시스템스코리아 제2공장
1331799119,35.873251069999995,129.21819455,
1331799121,35.873569020000005,129.22164327000002,
1331826862,35.88926693846154,129.22094233076922,일진글로벌
1340253386,36.00064281481481,129.41484848888888,한국주철관공업 포항공장
1363883257,35.61228427647058,129.34874110588237,한국농어촌공사 신답배수장
1376683128,36.020265045,128.86169519499998,화산농공단지
1381624460,35.67139486666667,129.3494916638889,이화일반산업단지
1383676726,35.60748279215686,129.07119198431374,상북농공단지
1383676729,35.59040399117647,129.08399950588236,길천일반산업단지
1410869176,35.7823032,128.83697033157895,신라공업
1421258526,35.8412289,129.22291976,
1421258544,35.842150922222224,129.22201474444444,
1424560075,35.81229672222222,128.80121393333332,경산버스
1433199160,36.0115401,129.37927234999998,
1433199161,36.02763228333333,129.3860721,
1433199162,36.031986975,129.3943118125,
1446737208,36.5420315952381,128.82856006666665,대원광업
1449938283,35.972765339999995,128.8047637342857,대동공단
1449938303,35.98306715909091,128.81703029545454,
1453291002,35.947249802173914,128.83357616086957,
1453291023,35.94943865,128.854373175,
1479655861,35.99015268,129.5554579,구룡포환승센터 회차지
1494108721,35.95809443135593,129.50353957542373,포항블루밸리국가산업단지
1497535243,35.71798758,129.22801803555555,명계3일반산업단지
1530995278,36.064806553846154,129.31810591538462,산업용지
1530995279,36.06353154615385,129.31968308461538,산업용지
1530995281,36.06377691428571,129.32030548571427,산업용지
1530995282,36.06673168181818,129.32103806363637,산업용지
1530995283,36.06905493703704,129.3202603037037,산업용지
1530995284,36.06956092,129.31809512,산업용지
1530995285,36.068337416666665,129.31693214166668,산업용지
1530995286,36.06699329166667,129.31491467916666,산업용지
1534199632,35.5544186625,129.36136716250002,
