u,v,length_m,highway
12288377404,1645075296,12.8,tertiary
1645075296,12288377403,13.3,tertiary
12288377403,1645075294,16.6,tertiary
1645075294,1645075293,60.1,tertiary
1645075293,12288377392,9.5,tertiary
12288377392,12288377391,8.5,tertiary
12288377391,1645075295,8.7,tertiary
1645075295,12288377390,9.5,tertiary
12288377390,12288377389,10.6,tertiary
12288377389,12288377388,11.1,tertiary
12288377388,1645075299,9.9,tertiary
1645075299,5313933082,10.7,tertiary
5313933082,5313933083,9.6,tertiary
5313933083,12288377380,135.3,tertiary
12288377380,1645075305,12.7,tertiary
1645075305,3985386172,10.7,tertiary
3985386172,5313933084,10.6,tertiary
5313933084,3985386173,11.4,tertiary
3985386173,12288377375,186.6,tertiary
12288377375,12288377374,37.0,tertiary
12288377374,12288377373,9.0,tertiary
12288377373,12288377372,9.2,tertiary
12288377372,12288377371,8.2,tertiary
12288377371,12288377370,7.2,tertiary
12288377370,3985386174,7.2,tertiary
3985386174,12288377369,11.4,tertiary
12288377369,5313933085,79.9,tertiary
5313933085,3985386175,89.8,tertiary
3985386175,12279574848,35.0,tertiary
12279574848,12279574847,12.8,tertiary
12279574847,12279574846,10.9,tertiary
12304715934,12304715948,19.3,residential
12304715948,12304715947,8.2,residential
12304715947,12304715946,7.2,residential
12304715946,4756570998,31.4,residential
4756570998,4756570997,5.6,residential
4756571245,4756571249,8.9,service
4756571249,9213999837,17.8,service
9213999837,4756571247,10.5,service
4756571245,4756571253,8.4,service
4756571253,4756571250,13.5,service
4756571250,4756571251,27.9,service
4756571251,4756571252,14.4,service
4756571252,4756571253,26.4,service
1645075297,4756571350,21.9,footway
4756571350,10609315242,28.0,footway
10609315242,10609315241,13.4,footway
10609315241,11696368310,15.9,footway
11696368310,10609315240,19.8,footway
10609315240,4756571351,11.3,footway
4756571351,4756571352,12.2,footway
4756571352,4756571353,74.1,footway
4756571353,4756571354,10.6,footway
4756571354,9201303442,29.3,footway
9201303442,4756571355,39.7,footway
4756571355,4756571352,15.6,footway
4756571355,10609315235,16.0,footway
10609315235,4756571356,13.1,footway
4756571356,10609315234,13.8,footway
10609315234,10609315233,27.3,footway
10609315233,4756571357,7.5,footway
4756571357,11696368311,12.9,footway
11696368311,10609315239,10.5,footway
10609315239,4756571358,5.9,footway
4756571358,10609315238,7.2,footway
10609315238,10609315237,13.8,footway
10609315237,4756571359,14.4,footway
4756571359,4756571360,26.7,footway
4756571360,10609315236,12.7,footway
10609315236,9201303429,14.3,footway
9201303429,4756571351,22.3,footway
4756571358,4756571361,2.9,footway
4756571361,4756571362,11.5,footway
4756571362,10609315232,12.8,footway
10609315232,9201303430,17.5,footway
9201303430,10609315231,9.2,footway
10609315231,9201303431,10.6,footway
9201303431,10609315230,10.7,footway
10609315230,4756571364,17.2,footway
4756571364,9201303432,7.0,footway
9201303432,4756571365,46.7,footway
4756571364,10609315229,9.7,footway
10609315229,12282885345,7.9,footway
12282885345,4756571366,5.6,footway
4756571366,12282885344,6.3,footway
12282885344,9201303443,6.8,footway
9201303443,4756571367,9.5,footway
4756571367,9201303444,10.3,footway
9201303444,12282885339,8.2,footway
12282885339,12282885341,9.6,footway
12282885341,12282885340,14.4,footway
12282885340,12282885342,8.2,footway
12282885342,12282885343,5.0,footway
12282885343,4756571368,6.5,footway
4756571368,4756571369,19.6,footway
4756571369,4756571370,8.0,footway
4756571370,12282885338,9.2,footway
12282885338,12282885337,6.9,footway
12282885337,4756571371,8.3,footway
4756571371,4756571372,9.1,footway
4756571372,4756571373,8.6,footway
4756571373,9201356218,34.3,footway
9201356218,4756571374,32.8,footway
4756571374,12282885346,12.3,footway
12282885346,4756571375,11.5,footway
4756571375,4756571376,14.1,footway
4756571376,12282885347,9.8,footway
12282885347,4756571377,8.8,footway
4756571377,12282885350,8.6,footway
12282885350,12282885349,6.9,footway
12282885349,12282885348,8.1,footway
12282885348,4756571378,10.0,footway
4756571378,4756571411,22.6,footway
4756571411,4756571413,40.0,footway
4756571413,4756571380,12.7,footway
4756571380,4756571381,10.3,footway
4756571381,9201303462,18.9,footway
9201303462,4756571382,10.9,footway
4756571382,9201303463,11.6,footway
9201303463,4756571383,13.8,footway
4756571399,4756571400,5.7,service
4756571400,9201303473,4.7,service
9201303473,4756571401,4.2,service
4756571401,9201303472,5.1,service
9201303472,4643406608,30.1,service
4643406608,12296988681,3.9,service
12296988681,12296988682,4.0,service
12296988682,12296988683,3.5,service
12296988683,12296988684,4.4,service
12296988684,4643406618,55.4,service
4643406618,4643406619,7.0,service
4643406619,9918349403,5.9,service
9918349403,12296988685,6.1,service
12296988685,12296988686,6.5,service
12296988686,4756571388,8.5,service
4756571388,12296988687,8.6,service
12296988687,12296988688,8.1,service
12296988688,12296988689,8.1,service
12296988689,12296988690,8.5,service
12296988690,12296988691,101.7,service
12296988691,5154495840,6.0,service
5154495840,4756571392,10.1,service
4756571392,4756571387,13.8,service
4756571387,5154495847,103.2,service
5154495847,5154495848,5.2,service
5154495848,4756571386,5.0,service
4756571386,4756571385,7.5,service
4756571385,4756571384,28.6,service
4756571384,4756571383,132.4,service
4756571479,12207980643,11.6,service
12207980643,9201303467,7.6,service
9201303467,12207980641,6.8,service
12207980641,4756571391,8.4,service
4756571391,12207980642,28.7,service
12207980642,4756571392,27.4,service
4756571380,4756571410,20.4,steps
4756571411,4756571412,25.8,footway
4756571413,9201303477,11.0,footway
9201303477,4756571414,41.3,footway
4756571414,4756571415,31.5,footway
4756571415,9201303461,27.9,footway
9201303461,9201303460,19.8,footway
9201303460,9201303459,65.2,footway
9201303459,4756571416,10.9,footway
4756571416,4756571439,19.1,footway
4756571439,4756571446,94.5,footway
4756571446,9201303488,52.0,footway
9201303488,4756571417,41.9,footway
4756571416,4756571427,33.1,footway
12293396382,12293396381,6.1,footway
12293396381,12293396380,5.6,footway
12293396380,12293396379,5.8,footway
12293396379,12293396378,8.7,footway
12293396378,12293396377,8.0,footway
12293396377,12293396376,8.6,footway
12293396376,12293396369,7.8,footway
12293396369,4756571433,5.7,footway
4756571433,12293396363,4.8,footway
12293396363,12293396364,6.3,footway
12293396364,12293396365,36.2,footway
4756571435,4756571436,11.6,footway
4756571436,9201303456,8.0,footway
9201303456,9201303455,8.8,footway
9201303455,4756571437,27.3,footway
4756571437,4756571438,16.6,footway
4756571438,4756571439,38.5,footway
4756571437,9201303458,25.4,footway
9201303458,4756571441,11.4,footway
4756571441,4756571442,6.7,footway
4756571442,4756571426,22.5,footway
4756571438,4756571443,16.5,footway
4756571443,4756571444,45.3,footway
4756571444,9201303457,18.8,footway
9201303457,4756571445,21.1,footway
4756571445,4756571446,28.2,footway
4756571470,12293396358,84.2,service
12293396358,12293396357,15.9,service
12293396357,12293396365,2.2,service
12293396365,12293396356,2.0,service
12293396356,4756571475,3.2,service
4756571475,4756571476,3.3,service
4756571476,3985387283,10.5,service
4756571479,9201303466,23.1,footway
9201303466,4756571480,35.5,footway
4756571480,9201303465,27.6,footway
9201303465,4756571384,30.5,footway
4756571480,4756571482,22.3,footway
4756571482,4756571486,17.4,footway
4756571486,4756571483,41.8,footway
4756571483,9201303464,19.7,footway
9201303464,4756571410,18.2,footway
4756571410,4756571484,25.1,footway
4756571484,4756571485,48.3,footway
4756571485,4756571486,46.0,footway
4756571485,4756571487,13.4,footway
4756571487,4756571488,20.6,footway
4756571488,4756571482,22.8,footway
4756571482,4756571490,13.8,footway
4756571490,9201356217,10.8,footway
9201356217,4756571491,10.2,footway
4756571491,4756571492,23.5,footway
4756571492,4756571493,41.1,footway
4756571493,4756571412,7.3,footway
4756571483,4756571493,25.7,footway
4756571493,4756571494,20.9,footway
4756571494,4756571495,15.5,footway
4756571495,4756571496,25.1,footway
4756571496,4756571497,14.7,footway
4756571497,4756571492,23.0,footway
4756571486,4756571492,27.5,footway
4756571415,4756571498,33.7,footway
4756571498,12293396367,26.3,steps
4756571378,9201303478,18.2,footway
9201303478,9201303475,20.9,footway
9201303475,4756571500,22.0,footway
4756571500,4756571501,16.0,footway
4756571501,9201303476,15.1,footway
9201303476,4756571502,15.0,footway
4756571502,4756571504,16.5,footway
4635081388,12304715858,19.3,residential
12304715858,12304715857,6.9,residential
12304715857,9311952546,9.2,residential
9311952546,5643723131,9.2,residential
5643723131,12296984038,29.3,residential
12296984038,1645075312,36.1,residential
4635144379,4756571506,64.3,service
4756571506,4635239709,17.5,service
4635239709,4635144382,55.1,service
4635144382,4635144790,68.5,service
4635144790,4635144380,52.3,service
10048613643,4635239712,70.6,residential
4635239712,4635144385,77.6,residential
4635144385,8137686063,66.3,residential
8137686063,4635144382,31.2,residential
4635144382,8137685871,26.1,residential
8137685871,6271704381,29.1,residential
4756571508,4635144791,58.8,service
4635144791,4635239712,48.4,service
4635239712,4635144388,80.0,service
4635144791,4635144790,148.2,service
4740327349,12296988680,41.6,residential
12296988680,12304715894,17.1,residential
12304715894,4655045235,4.3,residential
4655045235,4634870985,7.3,residential
4634870985,12304715896,4.5,residential
12304715896,12304715897,5.2,residential
12304715897,12304715898,4.6,residential
12304715898,12304715899,5.6,residential
12304715899,4756571512,40.5,residential
4756571512,4663112401,56.9,residential
4663112401,4635239714,11.4,residential
4635239714,12304715901,34.0,residential
12304715901,4635144384,26.3,residential
4635144384,12304715902,11.4,residential
12304715902,8137686119,52.5,residential
8137686119,12304715903,33.5,residential
12304715903,4635144379,12.3,residential
4635144379,4635239725,54.0,residential
4756571513,13055631360,21.8,service
13055631360,4756571514,5.4,service
4756571514,4635155999,13.6,service
4635155999,4635156000,8.7,service
4635156000,4635156001,15.8,service
4635156001,4635239720,23.7,service
4635144384,4635239721,22.3,service
4635239721,6289559499,6.1,service
6289559499,6289559498,4.8,service
6289559498,4756571515,11.8,service
4756571515,6289559497,5.2,service
6289559497,4635239713,24.7,service
4635239713,6289559495,4.2,service
6289559495,6289559496,8.2,service
6289559496,4756571516,12.7,service
4756571516,4635239714,16.6,service
4649126458,4645791520,20.0,living_street
4645791520,4649311036,46.0,living_street
4649311036,8265960300,43.4,living_street
8265960300,4649311037,49.9,living_street
4649311037,4756571527,45.2,living_street
4756571527,4756571520,57.9,living_street
4756571520,4740710050,29.1,living_street
4756571521,4756571526,66.9,living_street
4756571526,4756571522,44.6,living_street
4756571522,8265960299,47.1,living_street
8265960299,4756571523,49.2,living_street
4756571524,4649126458,111.7,living_street
4645265873,4756571525,139.6,living_street
4645265872,1831658916,135.3,living_street
4740213791,4756571526,49.9,living_street
4756571526,4756571530,41.3,living_street
4756571530,4756571527,44.9,living_street
4756571527,4756571532,42.3,living_street
4756571532,4756571528,85.6,living_street
4756571529,4756571530,75.4,living_street
4756571531,4656644601,52.3,living_street
4656644601,4756571532,47.5,living_street
4756571532,4756571533,49.7,living_street
4756571534,4656644621,80.9,living_street
4656644621,4656644599,41.8,living_street
4656644599,4656644618,24.8,living_street
4656644618,4656644598,56.8,living_street
4740710054,4656644618,54.1,living_street
4656644618,4701487288,96.8,living_street
4701487288,4756571535,71.3,living_street
4756571535,8265960302,32.7,living_street
8265960302,4756571536,37.5,living_street
4656644621,4656644623,60.6,living_street
4656644623,4756571538,86.9,living_street
6472722514,4656644522,78.3,residential
904021063,13584911713,10.0,residential
13584911713,13584911711,22.1,residential
13584911711,4800629737,34.5,residential
4800629737,13094906949,4.2,residential
13094906949,13094906950,8.0,residential
13094906950,4800629738,32.4,residential
4800629739,4800629738,74.3,residential
4800629738,4800629740,19.3,residential
4800629740,13584911666,76.4,residential
13584911666,4800629741,38.1,residential
529778415,4800629742,36.4,residential
4800629742,904021063,30.4,residential
904021063,4800629743,59.5,residential
4800629743,13584911042,24.9,residential
13584911042,4800629744,32.9,residential
4800629744,4800629745,27.7,residential
4800629745,4800629746,9.8,residential
4800629746,4800629741,41.4,residential
4800629741,4800629748,59.0,residential
9251915310,436597936,15.4,tertiary
436597936,11282579494,33.1,tertiary
4824240260,4824240261,14.6,living_street
4824240261,4824240262,26.4,living_street
4824240262,4824240263,39.2,living_street
4824240263,4824240264,26.5,living_street
4824240262,4824240266,71.6,living_street
4824240266,4824240267,28.2,living_street
4824240267,4824240270,6.2,living_street
4824240270,4824240271,68.6,living_street
4824240271,4824240272,36.2,living_street
4824240272,4824240273,36.4,living_street
4824240273,4824240274,12.5,living_street
4824240274,4824240275,29.4,living_street
4824240275,4824240276,31.1,living_street
4824240276,4824240277,17.8,living_street
5154495840,5154495839,23.0,service
5154495839,5154495838,11.4,service
5154495838,9201303511,12.3,service
9201303511,4756571389,18.0,service
2193764914,5158711938,27.5,residential
5158711938,5158711939,30.7,residential
5158711939,6194343294,26.6,residential
6194343294,5158711940,72.6,residential
5158711940,9331305538,6.5,residential
9331305538,5158711941,7.0,residential
5158711941,9331305557,17.9,residential
9331305557,9331305553,27.4,residential
9331305553,9331305558,6.5,residential
9331305558,9331305556,4.3,residential
9331305556,9331305528,10.8,residential
9331305528,9331305554,20.6,residential
4656644504,6472722513,77.2,residential
6472722514,6472722513,130.4,residential
5158711965,5158711966,35.0,service
5158711966,5158711967,45.6,service
5158711973,5158711972,65.4,residential
4636677866,6280676310,75.6,residential
6280676310,6280676308,54.9,residential
6280676308,5158711974,57.5,residential
5158711974,6280676304,57.0,residential
6280676304,9290335167,35.7,residential
9290335167,5158711975,14.3,residential
5158711975,6284023505,69.1,residential
6284023505,5158711976,22.6,residential
5158711976,6284023502,37.5,residential
6284023502,5158711978,38.7,residential
5158711978,6284023510,27.9,residential
6284023510,5158711979,81.3,residential
4740468290,6284023509,75.4,residential
6284023509,9196749612,30.5,residential
9196749612,6284023501,38.6,residential
6284023501,5158711985,10.3,residential
5158711985,6284023504,59.0,residential
6284023504,5158711984,14.0,residential
5158711984,5158711983,52.3,residential
5158711983,6280676303,51.7,residential
6280676303,4636677870,54.2,residential
4636677870,6280676307,58.8,residential
6280676307,5158711982,53.4,residential
5158711982,4636677865,74.8,residential
4636677865,6203796017,77.4,residential
6203796017,5158711980,74.7,residential
436581032,9311952568,13.4,primary
9311952568,436581034,18.6,primary
436581034,13142317705,33.0,primary
13142317705,436581035,4.5,primary
436581035,4634327355,16.2,primary
4634327355,436581036,39.7,primary
436581036,13142440231,13.7,primary
13142440231,9331381892,11.4,primary
9331381892,436581037,5.7,primary
436581037,9331381890,27.9,primary
9331381890,436581039,40.0,primary
436581039,436581040,18.4,primary
436581040,4634327352,68.0,primary
4634327352,4634327351,49.4,primary
4634327351,436581041,42.2,primary
436581041,4634327349,138.9,primary
4634327349,4634327347,81.9,primary
4634327347,8390730319,38.3,primary
8390730319,4634327345,25.3,primary
4634327345,9331381895,38.9,primary
9331381895,436581043,13.8,primary
4740710065,4736970035,27.6,primary_link
4736970035,4736970034,13.5,primary_link
4736970034,4736970033,17.7,primary_link
4740205173,5164536882,161.0,tertiary
414898314,6647012000,20.3,tertiary
6647012000,4638163785,14.1,tertiary
4638163785,4638163786,26.6,tertiary
4638163786,4740205526,33.9,tertiary
4740205526,4632583674,6.8,tertiary
4632583674,4632583931,103.1,tertiary
4632583931,9271029070,68.1,tertiary
9271029070,4740205212,14.6,tertiary
4740205212,414668430,19.8,tertiary
4740205168,6647011995,8.7,tertiary
6647011995,12310457823,24.8,tertiary
12310457823,12310457824,16.8,tertiary
12310457824,4740205162,16.6,tertiary
4740205162,4740205166,14.6,tertiary
4740205166,12310457831,13.4,tertiary
12310457831,9211885484,15.3,tertiary
9211885484,12310457832,33.9,tertiary
12310457832,6200369475,34.5,tertiary
6200369475,4740205165,49.3,tertiary
414668049,4738827420,49.5,secondary
4738827420,8265970123,11.6,secondary
8265970123,1831658912,19.9,secondary
4740468295,4740468294,30.0,secondary
4740468294,4740468293,32.0,secondary
4740468293,12658329382,5.1,secondary
5166708943,9203567743,222.6,service
9203567743,9203567751,180.1,service
9203567751,5166708941,60.3,service
259979183,5528018521,37.9,primary
530981005,5372738112,22.4,tertiary
5372738112,6146988057,8.8,tertiary
6146988057,529470260,2.6,tertiary
529470260,530981014,52.4,tertiary
530981014,530981006,24.3,tertiary
530981006,530981013,10.6,tertiary
530981013,529470265,52.7,tertiary
529470265,5224566469,37.4,tertiary
5224566469,529470267,38.4,tertiary
529470267,904029190,54.2,tertiary
12290929370,312204923,31.0,primary
312204923,2259058131,75.9,primary
699849915,10857705898,22.1,tertiary
10857705898,529807837,9.9,tertiary
529807837,529807838,57.8,tertiary
529807838,529807803,55.2,tertiary
529807803,10857705880,51.0,tertiary
10857705880,529807805,80.3,tertiary
10828161847,5313720646,36.4,secondary_link
5313720646,10836474130,3.1,secondary_link
10836474130,5192963692,19.4,secondary_link
5192963693,5313720645,32.8,tertiary_link
5313720645,10828161848,9.7,tertiary_link
10828161848,5192963691,18.9,tertiary_link
5199200980,5199201015,4.7,residential
5199201015,5199201011,15.7,residential
5199201011,5199200981,10.0,residential
5199200981,1882541741,130.6,residential
5199200983,5199200984,17.1,residential
5199200984,5199200985,52.6,residential
5199200985,5199200986,10.8,residential
5199200986,5199200987,46.7,residential
5199200987,1882541741,20.0,residential
1882541741,10729515671,28.3,residential
10729515671,5199200990,18.6,residential
5199200990,5199200991,45.3,residential
5199200991,5199200992,19.4,residential
5199200992,5199200993,22.9,residential
5199201001,5199201002,24.7,residential
5199201002,5199200993,35.4,residential
1882541540,5199201003,15.5,residential
5199201003,5199201004,15.4,residential
5199201004,5199201012,6.4,residential
5199201012,5199201005,23.2,residential
5199201006,5199201007,34.7,residential
5199201007,5199201008,53.7,residential
5199201008,5199201009,30.6,residential
5199201009,5199201010,10.2,residential
5199201010,5199201011,11.2,residential
5199201013,5199201014,15.0,residential
5199201014,5199201015,39.0,residential
5199201011,5199201016,25.8,residential
5210651893,5210651892,14.5,path
5210651892,5210651891,25.4,path
5210651891,5210651890,14.5,path
5210651890,5210651889,9.9,path
5210651889,5210651888,11.6,path
5210651888,5210651887,15.1,path
5210651887,5210651886,11.5,path
5210651886,5210651885,15.1,path
5210651885,5210651884,19.0,path
5210651884,5210651883,13.4,path
5210651883,5210651882,8.8,path
5210651882,5210651881,12.4,path
5210651881,5210651880,24.5,path
5210651880,11518969857,15.0,path
11518969857,11518969856,6.8,path
11518969856,5210651879,9.3,path
5210651879,5210651878,16.7,path
5210651878,11518969855,22.6,path
11518969855,11518969854,9.1,path
11518969854,5210651877,8.2,path
5210651877,11518969852,7.1,path
11518969852,11518969853,6.1,path
11518969853,5210651876,12.1,path
5210651876,5210651875,11.9,path
5210651875,11518969851,7.2,path
11518969851,5210651874,10.5,path
5210651874,11518969849,7.0,path
11518969849,11518969850,5.1,path
11518969850,5210651873,12.1,path
5210651873,11518969848,10.7,path
11518969848,5210651872,8.8,path
5210651872,5210651871,16.9,path
5210651871,11518969847,6.2,path
11518969847,11518969845,6.5,path
11518969845,5210651870,9.3,path
5210651870,11518969846,9.8,path
11518969846,5210651869,10.8,path
5210651869,11518969844,10.6,path
11518969844,5210651868,9.9,path
5210651868,5210651867,8.2,path
5210651867,11518969843,8.2,path
11518969843,5210651866,8.8,path
5210651866,5210651865,7.8,path
5210651865,5210651864,3.2,path
5210651864,5210651863,7.6,path
5210651863,5210651862,7.3,path
5210651862,5210651861,34.0,path
5210651861,5210651860,8.3,path
5210651860,5210651859,14.5,path
5210651859,5210651858,8.2,path
5210651858,11518969858,8.0,path
11518969858,5210651857,7.5,path
5210651857,5210651856,13.7,path
5210651856,5210651855,12.7,path
5210651855,5210651854,18.3,path
5210651854,11518969693,4.5,path
11518969693,11518969859,6.8,path
11518969859,5210651853,6.6,path
5210651853,5210651852,10.4,path
5210651852,5210651851,8.4,path
5210651851,5210651850,11.4,path
5210651850,5210651849,12.3,path
5210651849,5210651848,28.3,path
5210651848,5210651847,18.8,path
5210651847,5210651846,12.8,path
5210651846,5210651845,14.3,path
5210651845,11518969860,5.3,path
11518969860,11518969861,8.9,path
11518969861,5210651844,10.9,path
5210651844,5210651843,16.9,path
5210651843,5210651842,24.6,path
5210651842,5210651841,24.0,path
5210651841,5210651840,27.9,path
5210651840,5210651839,15.1,path
5210651839,11518969019,4.7,path
11518969019,5210651838,5.6,path
5210651838,11518969018,5.7,path
11518969018,5210651837,8.1,path
5210651837,11518969866,7.5,path
11518969866,11518969865,4.0,path
11518969865,11518969864,3.8,path
11518969864,5210651836,12.3,path
5210651836,5210651835,7.5,path
5210651835,5210651834,14.7,path
5210651834,11518969863,9.4,path
11518969863,5210651833,8.7,path
5210651833,5210651832,7.8,path
5210651832,11518969862,9.4,path
11518969862,5210651831,10.4,path
5210651831,11518970274,7.0,path
11518970274,5210651830,10.1,path
5210651830,11518970275,8.0,path
11518970275,5210651829,8.1,path
5210651829,5210651828,8.7,path
5210651828,11518970273,7.9,path
11518970273,5210651827,7.9,path
5210651827,11518970272,7.9,path
11518970272,5210651826,8.3,path
5210651826,5210651825,7.0,path
5210651825,11518970271,9.5,path
11518970271,11518970276,16.7,path
11518970276,5210651822,1.4,path
5210651822,11518970266,5.3,path
11518970266,11518970267,6.8,path
11518970267,5210651821,9.0,path
5210651821,11518970265,9.3,path
11518970265,5210651620,5.3,path
5210651620,11518970264,9.0,path
11518970264,5210651619,6.4,path
5210651619,5210651618,9.1,path
5210651618,5210651617,17.4,path
5210651617,5210651616,9.9,path
5210651616,11518970263,9.7,path
11518970263,5210651615,10.4,path
5210651615,11518970262,8.9,path
11518970262,5210651614,4.4,path
5210651614,11518970261,8.3,path
11518970261,5210651613,8.4,path
5210651613,11518970260,13.3,path
11518970260,5210651612,9.4,path
5210651612,11518970259,8.5,path
11518970259,5210651611,12.7,path
5210651611,5210651610,13.2,path
5210651610,11518970258,12.2,path
11518970258,5210651609,9.3,path
5210651609,5210651608,17.9,path
5210651897,5210651899,48.1,steps
5210651899,5210651898,2.7,steps
2519290564,5210651893,6.5,footway
5210651893,5210651894,6.4,footway
5210651894,5210651895,13.9,footway
5210651895,5210651896,5.6,footway
5210651896,5210651897,13.3,footway
530990618,5224566466,8.0,residential
5224566466,5224566467,33.1,residential
5224566467,530990604,7.2,residential
5224566470,5224566471,4.7,footway
5224566471,13735342843,5.0,footway
13735342843,5224566472,7.9,footway
5224589588,5224589589,16.3,footway
5224589589,5224589590,9.9,footway
2911126392,2911126391,10.1,cycleway
2911126391,2911126390,7.8,cycleway
2911126390,2911126389,16.1,cycleway
2911126389,2519236929,5.6,cycleway
2519236929,2519236959,70.4,cycleway
2519236959,2519236963,24.2,cycleway
2519236963,2519236976,16.2,cycleway
2519236976,2519236977,7.4,cycleway
2519236977,2519236983,21.4,cycleway
2519236983,2519236993,60.8,cycleway
2519236993,2519237017,126.4,cycleway
2519237017,2519237024,12.6,cycleway
2519237024,2519237033,48.6,cycleway
2519237033,2519237049,48.4,cycleway
2519237049,2519237051,24.2,cycleway
2519237051,2519237078,84.6,cycleway
2519237078,2519237082,57.1,cycleway
2519237082,2519237093,48.2,cycleway
2519237093,2519237108,84.0,cycleway
2519237108,2519237136,23.8,cycleway
2519237136,2519237146,17.4,cycleway
2519237146,2519237156,14.8,cycleway
2519237156,2519237167,36.5,cycleway
2519237167,2519237185,19.4,cycleway
2519237185,2519237189,10.2,cycleway
2519237189,2519237241,66.4,cycleway
2519237241,2519237246,13.7,cycleway
2519237246,2519237257,37.2,cycleway
2519237257,2519237270,41.2,cycleway
2519237270,2519237292,72.5,cycleway
2519237292,2519290594,13.2,cycleway
2519290594,2519290596,7.1,cycleway
2519290596,2519290598,8.1,cycleway
2519290598,2519290595,6.5,cycleway
5224589602,9326931987,21.8,footway
9326931987,5224589603,31.9,footway
5224589603,5224589604,37.0,footway
5224589605,5224589611,45.7,footway
5224589611,5224589606,62.1,footway
5224589606,5224589607,10.6,footway
5224589607,5224589608,100.8,footway
5224589608,5224589609,69.9,footway
5224589609,5224589614,9.8,footway
5224589614,5224589619,78.8,footway
5224589619,5224589610,80.7,footway
5224589611,5224589610,62.7,footway
5224589610,5224589604,35.5,footway
5224589604,5224589612,39.5,footway
5224589612,5224589618,82.4,footway
5224589618,5224589613,77.8,footway
5224589613,5224589620,36.5,footway
5224589620,5224589614,39.5,footway
5224589612,5224589615,23.8,footway
5224589615,5224589616,25.4,footway
5224589616,5224589617,24.4,footway
5224589617,5224589612,25.2,footway
5224589618,5224591921,37.6,footway
5224591921,5224589619,37.9,footway
11064166580,13147574336,30.7,footway
13147574336,5224589620,6.8,footway
5224589620,5224591921,77.7,footway
5224589613,5224591922,26.7,footway
5224591922,5224591923,23.7,footway
5224591923,5224591924,13.3,footway
5224591924,5224591925,12.2,footway
5224591925,5224591926,13.7,footway
5224591926,5224591927,107.0,footway
5224591932,5224591933,7.9,service
5224591933,5224591934,81.3,service
5224591934,5224591935,80.7,service
5224591935,11064166577,24.2,service
5224591951,5224591954,3.8,residential
5224591954,5224591952,59.0,residential
5224591952,5224591953,5.8,residential
13061816123,5224648434,99.7,service
5224648438,5224648439,70.6,service
5224648439,5224648440,48.9,service
5224648440,5224648441,38.6,service
5224648441,13061803954,21.1,service
13061803954,5224648442,9.4,service
5224648442,13061803983,12.0,service
13061803983,5224648443,23.3,service
5224648443,5224648444,17.1,service
5224648444,13061803980,27.9,service
13061803980,5224648445,7.2,service
5224648445,10902214847,43.1,service
10902214847,5224648446,13.7,service
5224648446,5224648447,20.3,service
5224648447,5224648448,41.5,service
5224648448,5224648449,16.4,service
5224648449,5224648450,15.9,service
5224648450,5224648451,17.7,service
5224648451,5224648452,21.3,service
5224648452,5224648453,29.9,service
5224663685,5224663686,8.3,footway
5224663686,13735342839,4.6,footway
13735342839,5224663687,2.8,footway
3756931681,5224663689,7.5,footway
5224663689,5224663690,8.6,footway
5224663691,5224663692,8.6,footway
5224663692,3759586196,11.1,footway
3759586196,5224663693,13.6,footway
5224663693,3756931682,6.6,footway
3759586196,13192563307,11.5,cycleway
13192563307,13588234335,40.0,cycleway
13588234335,3759567268,63.2,cycleway
3759567268,13588234347,20.1,cycleway
13588234347,13192563310,23.5,cycleway
13192563310,13588234350,5.7,cycleway
13588234350,3759586203,34.0,cycleway
3759586203,12311524252,29.3,cycleway
12311524252,5224663696,6.7,cycleway
5224663696,3759586204,30.1,cycleway
3759586204,11063244793,71.8,cycleway
11063244793,3759586205,9.5,cycleway
3759586205,12311524228,4.4,cycleway
12311524228,5224663697,46.0,cycleway
5224663697,5224663700,32.8,cycleway
5224663700,3759586206,29.2,cycleway
3759586206,529804002,159.3,cycleway
5224663694,5224663695,9.5,footway
5224663695,5224663696,9.7,footway
5224663698,5224663699,10.1,footway
5224663699,5224663700,9.0,footway
5224663701,5224663702,9.6,footway
5224663702,10828183474,9.3,footway
10828183474,5224663703,9.8,footway
5224663701,10828183475,6.1,footway
10828183475,2122131965,5.5,footway
2122131965,5224663705,7.0,footway
13096029373,7838616285,68.1,footway
530990666,5224671237,20.8,service
5224671237,5224671238,29.8,service
5224671238,5224671239,7.5,service
5224671239,5224671240,22.8,service
5224671240,5224671241,33.2,service
5224671241,5224671242,20.8,service
5224671242,5224671243,16.3,service
4736916092,4736916096,14.6,primary
4736916096,3956007599,10.8,primary
3956007599,12318706883,11.5,primary
12318706883,12318709186,9.1,primary
12318709186,4677735263,13.1,primary
4677735263,4677674424,12.0,primary
4677674424,3956007595,11.1,primary
3956007595,3956007593,11.2,primary
3956007593,4677735227,86.4,primary
4677735227,3956007591,27.3,primary
3956007591,6647012027,22.7,primary
6647012027,12381266303,18.5,primary
12381266303,3956007589,8.0,primary
3956007589,12327752161,25.2,primary
12327752161,3956007586,22.2,primary
3956007586,3956007584,28.9,primary
3956007584,12327752162,24.1,primary
12327752162,4677614565,22.9,primary
4677614565,12327752163,31.2,primary
12327752163,4677614543,40.7,primary
4677614543,4677614560,69.3,primary
4677614560,12438049914,39.8,primary
12438049914,4677614564,30.8,primary
4677614564,4677614528,68.7,primary
4677614528,3956007573,126.9,primary
