u,v,length_m,highway
13603977938,790705527,32.3,residential
790705527,529778372,51.0,residential
529778394,13610559489,41.6,residential
13610559489,6015522826,26.3,residential
6015522826,4309985013,47.6,residential
4309985013,529778377,53.2,residential
529778377,529778368,55.3,residential
529778373,4309985013,60.5,residential
4309985013,12525943412,6.1,residential
12525943412,529778376,31.8,residential
529778376,529778375,36.7,residential
529778375,529778374,36.9,residential
529778374,529778360,100.5,residential
6015522825,529778374,47.3,residential
529778375,790705682,53.9,residential
790705682,529778370,53.5,residential
529778376,790705548,53.0,residential
790705548,529778371,54.9,residential
529778377,790705548,37.9,residential
790705548,790705682,36.0,residential
790705682,529778378,37.7,residential
529778395,6015486605,52.2,residential
6015486605,13610551921,55.3,residential
13610551921,529778396,108.1,residential
529778367,529778361,162.5,residential
529778421,12338947513,32.8,residential
12338947513,529778427,47.8,residential
529778427,12342880600,60.3,residential
12342880600,13588441364,10.1,residential
13588441364,13588441042,25.7,residential
13588441042,529778422,30.8,residential
2122131931,12342361411,10.0,unclassified
12342361411,529792241,48.8,unclassified
529792241,529792227,59.2,unclassified
529792227,3801759613,65.8,unclassified
3801759613,790705687,58.4,unclassified
790705687,790705589,81.2,unclassified
790705589,13582999497,29.0,unclassified
13582999497,529778431,47.0,unclassified
790705506,529792243,75.4,residential
529792243,790705562,82.5,residential
790705562,529778429,59.8,residential
529778429,790705556,62.8,residential
790705556,10855840683,42.3,residential
10855840683,13588441390,1.0,residential
13588441390,12342361441,6.2,residential
12342361441,13588441399,1.2,residential
13588441399,12342361438,32.6,residential
12342361438,529778425,10.9,residential
529778449,790705527,79.7,residential
790705527,13604115121,23.1,residential
13604115121,529778387,107.7,residential
529778387,13604051976,80.8,residential
13604051976,529778390,121.9,residential
529778460,13577620343,50.1,residential
13577620343,13577620341,9.2,residential
13577620341,529778458,18.0,residential
529778458,3756798917,13.1,residential
3756798917,13577620346,25.0,residential
13577620346,529778455,41.9,residential
529778455,13583273073,43.8,residential
13583273073,13583273074,13.4,residential
13583273074,13583273075,4.7,residential
13583273075,529778457,5.9,residential
529778458,13577620350,33.9,residential
13577620350,529778459,15.0,residential
529778459,13577620355,12.4,residential
13577620355,13577620360,23.1,residential
13577620360,13577620357,37.1,residential
13577620357,529778450,13.0,residential
529778450,4296547667,29.7,residential
4296547667,8721333057,32.6,residential
8721333057,529778451,48.7,residential
529778452,13603201699,6.3,residential
13603201699,529778450,29.2,residential
529778450,13577620365,32.3,residential
13577620365,13577620367,35.7,residential
13577620367,13094906952,18.9,residential
13094906952,13577620375,18.6,residential
