id,lat,lon
312198519,35.8152392,129.201253
3759566193,35.8208466,129.206116
9251915286,35.8217879,129.2060959
10831436205,35.8233127,129.2060539
10831436210,35.8242163,129.2060298
10831435204,35.8245287,129.2060214
529458552,35.8246753,129.2060143
12421695069,35.8517483,129.2175347
436736922,35.8516956,129.217516
10828161895,35.8448092,129.2014328
529792245,35.8447731,129.202979
530287011,35.8504786,129.229286
529483789,35.8502412,129.2289457
529483793,35.8494739,129.2289354
13108208353,35.8487994,129.2289269
530286855,35.8480653,129.2289176
4154289515,35.8477932,129.2289127
5373440850,35.8464596,129.2288949
529470376,35.8460107,129.2288889
529470140,35.8284904,129.2148112
3759567183,35.8285801,129.2147894
5373391856,35.8286012,129.2147843
436597949,35.8199852,129.2104689
436597950,35.82045,129.2105
13061816136,35.8204812,129.2105016
436597951,35.82084,129.21052
13061816119,35.8209901,129.2105268
3759566206,35.8210906,129.2105314
13061816090,35.8217841,129.2105631
2817930573,35.8218691,129.2105702
3759566222,35.8219382,129.2105744
13061816074,35.8229014,129.2106332
13061816053,35.8230407,129.2106422
3759566240,35.8233426,129.2106619
13061816015,35.8242875,129.2107062
3759566247,35.8244021,129.2107116
436597952,35.8246598,129.2106709
436597953,35.82482,129.21058
6479769507,35.8250927,129.210437
529470105,35.8256083,129.2101666
2259058206,35.8434258,129.2365577
2259057988,35.8434416,129.2366019
2259058011,35.8434407,129.236649
2259057959,35.8434289,129.2368451
2259058314,35.8435184,129.2367023
2259058504,35.8436071,129.2366133
2259058548,35.8436858,129.2365599
2259058610,35.8413766,129.2365318
312197992,35.8415422,129.2365287
530286887,35.8473128,129.2325775
530286863,35.8470474,129.2321964
530282340,35.8467249,129.2317332
530286858,35.8463267,129.2311613
530282331,35.8457839,129.2303818
529483709,35.84771,129.2257309
11079771522,35.8479512,129.2260549
13108208362,35.848122,129.2262841
530286854,35.8483838,129.2266357
530287010,35.8489492,129.2273691
529483803,35.8492363,129.227714
529483791,35.8494848,129.2280343
13108208356,35.8494829,129.228193
530290137,35.8494805,129.2283944
13108208354,35.8494778,129.2286169
5373440846,35.8485897,129.2244853
10264358427,35.8487221,129.2246387
13108208344,35.8488586,129.2248111
530287001,35.8489872,129.224978
13108208323,35.8492354,129.2252869
4148023414,35.8493745,129.2254625
13108208331,35.8497511,129.225938
530290070,35.8497891,129.225986
13108208342,35.8500027,129.2262557
529483796,35.850247,129.2265642
530290075,35.8507651,129.2265192
530290073,35.8510608,129.2265577
530290113,35.8512467,129.2265615
530290111,35.8514555,129.2265658
530290112,35.8517629,129.2265721
530290120,35.8519907,129.2265768
530290118,35.8522627,129.2265824
529483798,35.8494365,129.2233409
530290030,35.849637,129.2236316
5373440849,35.8498415,129.2238777
529483799,35.8500439,129.2240517
529483801,35.8502879,129.2241751
7478900363,35.8504252,129.2241843
530290069,35.850794,129.224158
11079771531,35.8510137,129.2241599
11079771533,35.8516166,129.2241651
530290105,35.8517367,129.2241661
530290110,35.8519565,129.2241701
530290109,35.8521722,129.2241767
530287009,35.8497812,129.2271234
530290136,35.8495028,129.2274334
2911126377,35.8434944,129.2070493
3972492219,35.8434401,129.2084108
13147463230,35.8434267,129.2092562
790705642,35.8434144,129.2100336
790705515,35.8433315,129.2116516
10855840667,35.8432624,129.2125917
790705614,35.8431791,129.2135407
3972492218,35.8431413,129.2146027
2911126352,35.8431167,129.215292
2911126349,35.8445155,129.2116486
3972492221,35.8442318,129.2116544
13585929643,35.8428482,129.2116621
13585929645,35.8425848,129.2116679
790705488,35.8420373,129.2116798
904958832,35.8416637,129.2116775
904958836,35.8411536,129.211682
12995205408,35.8410636,129.2116796
2818013373,35.8399606,129.2116501
436666869,35.8404474,129.2135441
529470303,35.8400985,129.2136396
6699605862,35.8395336,129.2136759
529470301,35.8394097,129.2136946
529470299,35.8389205,129.2136893
13602507946,35.8383514,129.213721
529470297,35.8381259,129.2137336
529470295,35.8379113,129.2137684
529470293,35.8375983,129.2138749
529470211,35.8371557,129.2141412
529470209,35.8367023,129.2144075
529470206,35.8364001,129.2146871
529470204,35.8361198,129.2150116
529470202,35.8359575,129.2152597
529470200,35.8357632,129.2156458
904021097,35.8357406,129.2156957
11063244796,35.8357079,129.2157677
529470226,35.835561,129.2159101
903877051,35.8354751,129.2160067
529470224,35.8351249,129.216318
4161735409,35.84984,129.2155882
13065355402,35.8484501,129.2155243
13065355407,35.8478222,129.2155044
4627767700,35.8471451,129.2154754
3017451146,35.8420918,129.2100562
12785063530,35.8420263,129.2119768
12785063531,35.842017,129.212229
12995205406,35.8420153,129.2122744
12267530777,35.8420064,129.2125147
790705495,35.8419691,129.2135196
436597966,35.8347113,129.2094621
13603975368,35.8346677,129.2099619
529778381,35.8346489,129.2101774
529778405,35.83463,129.2103934
13588234977,35.8346204,129.2104836
529778404,35.8345514,129.2111297
529778402,35.8344015,129.2127531
10857622004,35.8343439,129.2135223
13065343618,35.8343127,129.2137962
4800629739,35.8343041,129.2138584
13584911660,35.8342333,129.2145578
12385823587,35.8342053,129.2148342
13584911621,35.8341967,129.2149854
529778409,35.8341858,129.2151772
529778410,35.8341713,129.2154819
529778406,35.8331511,129.2132013
12203555259,35.8332281,129.2131774
10857621955,35.8337051,129.2130294
13603718461,35.8338324,129.2129789
529778403,35.8346063,129.2127464
12385823578,35.8352097,129.2126102
13583188211,35.8354035,129.2126015
529778411,35.8355383,129.2125728
529778412,35.8356343,129.2125819
13584911717,35.8356423,129.2125848
10244156896,35.8357029,129.2126067
529778413,35.8357681,129.2126303
529778414,35.8358479,129.2126888
529778415,35.8358908,129.2127281
10831435199,35.8367915,129.2070818
12342937702,35.8369218,129.2058521
13588441077,35.8369398,129.205682
529778396,35.8370078,129.2050408
13610551923,35.8370237,129.2048689
13588440997,35.8370384,129.2047107
529778367,35.8370661,129.2044108
13588441007,35.837074,129.204342
529778363,35.8371228,129.2039149
12525943411,35.8371204,129.2038847
529778364,35.8371017,129.203654
529778365,35.8370488,129.203341
529778366,35.8370121,129.2031606
13588235084,35.8338375,129.210394
6015522828,35.8338097,129.210394
529778398,35.8330487,129.2104111
529778416,35.8353897,129.2111183
529778417,35.8354454,129.2101692
529778392,35.8355149,129.2095194
529778393,35.8365908,129.2085445
13604051855,35.835909,129.2085052
13604051979,35.8355825,129.2084864
8477883187,35.8355524,129.2084847
529778383,35.8337075,129.2094768
13604115221,35.8337067,129.2089691
13603977829,35.8337066,129.208915
13604115195,35.8337061,129.2085822
13603977906,35.8337061,129.2085616
13604115124,35.8337058,129.2083954
13603977905,35.8337057,129.2083288
13603977938,35.8337054,129.2081271
790705527,35.8337048,129.2077691
529778372,35.8337051,129.2072036
529778394,35.835009,129.2064467
13610559489,35.8346349,129.2064488
6015522826,35.8343983,129.2064501
4309985013,35.8339701,129.2064525
529778377,35.8334915,129.2064551
529778368,35.8329945,129.2064579
529778373,35.8339782,129.2071237
12525943412,35.8339693,129.2063843
529778376,35.8339651,129.2060316
529778375,35.8339601,129.2056243
529778374,35.8339552,129.2052147
529778360,35.8339418,129.2041001
6015522825,35.8343802,129.2051942
790705682,35.8334751,129.2056364
529778370,35.8329944,129.2056483
790705548,35.8334881,129.2060352
529778371,35.8329944,129.2060387
529778378,35.833476,129.2052183
529778395,35.835086,129.2047286
6015486605,35.8355535,129.2047845
13610551921,35.8360458,129.2048713
529778361,35.8356158,129.2041886
529778421,35.8383177,129.2070668
12338947513,35.8382447,129.2067146
529778427,35.8381019,129.2062144
12342880600,35.8379053,129.2055914
13588441364,35.8378725,129.2054875
13588441042,35.8377886,129.2052216
529778422,35.8376881,129.2049032
2122131931,35.8386655,129.2046939
12342361411,35.8387549,129.2046788
529792241,35.8391935,129.2046842
529792227,35.8397262,129.204695
3801759613,35.8403174,129.20471
790705687,35.8408417,129.2047376
790705589,35.8415716,129.2047523
13582999497,35.8418321,129.2047575
529778431,35.8422546,129.204766
790705506,35.8422311,129.2059308
529792243,35.8415532,129.205945
790705562,35.8408111,129.2059604
529778429,35.8402734,129.2059716
