feature_id,name,lat,lon,value,weight,sigungu,usable,geom,source
A7,개나리공원,36.08595132,128.3489989,어린이공원,1500.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,건강공원,36.09799566,128.4331371,어린이공원,3180.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,경구공원,36.14795418,128.3091581,어린이공원,1604.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,고운하늘공원,36.14856895,128.4167161,어린이공원,3581.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,공단 소공원(장앤정),36.10169005,128.4107912,소공원,992.0,경상북도 구미시청,True,point,전국도시공원정보표준데이터
A7,공단소공원(방림옆),36.09894285,128.3669871,소공원,1644.0,경상북도 구미시청,True,point,전국도시공원정보표준데이터
A7,공단지구 어린이놀이터1,36.09516857,128.3899312,어린이공원,3508.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,공단지구 어린이놀이터2,36.09474058,128.3897271,어린이공원,3520.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,관동공원,36.14673565,128.3114803,어린이공원,1502.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,교우공원,36.24580179,128.3048959,어린이공원,2035.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,구진벌공원,36.09498529,128.4353371,어린이공원,2066.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,나들이공원,36.09109291,128.4258905,어린이공원,2282.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,나래공원,36.13954095,128.4195022,어린이공원,1609.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,나래공원,36.1550847,128.4269655,어린이공원,1800.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,남통공원,36.12968023,128.3234651,어린이공원,7000.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,노상공원,36.24323859,128.2974762,어린이공원,2554.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,누리공원,36.12251931,128.3658317,어린이공원,4951.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,늘푸른 공원,36.09358838,128.3543999995,어린이공원,1504.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,늘푸른 공원,36.09377281,128.4468937,어린이공원,1879.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,다봉공원,36.15608984,128.3094449,근린공원,14300.0,경상북도 구미시청,True,point,전국도시공원정보표준데이터
A7,다붓1공원,36.15652562,128.3144491,어린이공원,1585.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,다붓2공원,36.15480813,128.3143129,어린이공원,1637.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,다붓소공원,36.15588568,128.3115404,소공원,805.0,경상북도 구미시청,True,point,전국도시공원정보표준데이터
A7,다솜공원,36.09122245,128.4411186,어린이공원,2223.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,다숲공원,36.08387987,128.3552051,어린이공원,3849.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,다정공원,36.11694344,128.4255863,어린이공원,953.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,단계공원,36.23596806,128.2890449,어린이공원,2324.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,달빛공원,36.14280245,128.4229606,어린이공원,1683.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,달오름공원,36.45863,128.205081,어린이공원,1501.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,당산공원,36.07974069,128.3746957,어린이공원,1500.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,수변공원,36.08481668,128.3671349,수변공원,3365.0,경상북도 구미시청,True,point,전국도시공원정보표준데이터
A7,I♡공원,36.08627503,128.3511745,어린이공원,1500.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,여울공원,36.0892815,128.3574349,어린이공원,2100.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
A7,연화공원,36.16066853,128.3506092,어린이공원,2123.0,경상북도 구미시청,False,point,전국도시공원정보표준데이터
