feature_id,name,lat,lon,lat2,lon2,sigungu,weight,geom,value,source
A6,용호로,36.039857,128.103894,36.043063,128.117955,김천시,344,segment,1.0,가로수길 표준데이터 수종분류
A6,자산로,36.118785,128.126325,36.121611,128.118701,김천시,159,segment,0.0,가로수길 표준데이터 수종분류
A6,자산로,36.118785,128.126325,36.124834,128.130291,김천시,27,segment,0.0,가로수길 표준데이터 수종분류
A6,자산로,36.121611,128.118701,36.125668,128.117981,김천시,66,segment,0.0,가로수길 표준데이터 수종분류
A6,자산로,36.125668,128.117981,36.129704,128.118253,김천시,55,segment,0.0,가로수길 표준데이터 수종분류
A6,부항댐,35.978559,128.014031,35.978664,127.979532,김천시,165,segment,1.0,가로수길 표준데이터 수종분류
A6,사등3길,36.028182,127.947505,36.029035,127.955741,김천시,218,segment,1.0,가로수길 표준데이터 수종분류
A6,사등4길,36.006632,127.938813,36.029035,127.955741,김천시,850,segment,1.0,가로수길 표준데이터 수종분류
A6,삼산1길,36.042767,128.123224,36.029063,128.130241,김천시,514,segment,1.0,가로수길 표준데이터 수종분류
A6,삼산2길,36.031145,128.128097,36.028171,128.127619,김천시,200,segment,1.0,가로수길 표준데이터 수종분류
A6,송설로,36.124696,128.104847,36.124311,128.085562,김천시,330,segment,0.667,가로수길 표준데이터 수종분류
A6,시민로,36.124696,128.104847,36.129787,128.100698,김천시,69,segment,0.0,가로수길 표준데이터 수종분류
A6,시청길,36.138061,128.114045,36.140261,128.115095,김천시,303,segment,0.0,가로수길 표준데이터 수종분류
A6,시청로,36.128612,128.118198,36.156922,128.116783,김천시,508,segment,1.0,가로수길 표준데이터 수종분류
A6,시청로,36.136383,128.115956,36.137249,128.116028,김천시,28,segment,1.0,가로수길 표준데이터 수종분류
A6,신음새동네길,36.134443,128.117657,36.132704,128.122108,김천시,128,segment,1.0,가로수길 표준데이터 수종분류
A6,아포대로,36.115705,128.154858,36.127165,128.172553,김천시,166,segment,0.0,가로수길 표준데이터 수종분류
A6,아포대로,36.160145,128.252158,36.164037,128.247389,김천시,186,segment,1.0,가로수길 표준데이터 수종분류
A6,아포대로,36.154795,128.274796,36.152745,128.278948,김천시,276,segment,1.0,가로수길 표준데이터 수종분류
A6,양금로,36.097958,128.117521,36.095369,128.111313,김천시,48,segment,0.0,가로수길 표준데이터 수종분류
A6,양금로,36.107561,128.121196,36.098419,128.117377,김천시,193,segment,0.0,가로수길 표준데이터 수종분류
A6,양금로,36.098419,128.117377,36.091796,128.115191,김천시,173,segment,0.0,가로수길 표준데이터 수종분류
A6,용시길,36.139898,128.113649,36.139898,128.113649,김천시,157,segment,1.0,가로수길 표준데이터 수종분류
A6,영남대로,36.139898,128.113649,36.139898,128.113649,김천시,96,segment,1.0,가로수길 표준데이터 수종분류
A6,영남대로,36.139898,128.113649,36.139898,128.113649,김천시,45,segment,1.0,가로수길 표준데이터 수종분류
A6,속구미2길,36.139898,128.113649,36.139898,128.113649,김천시,243,segment,1.0,가로수길 표준데이터 수종분류
A6,영남대로,36.109338,128.172036,36.090376,128.242455,김천시,950,segment,1.0,가로수길 표준데이터 수종분류
A6,영남대로,36.090376,128.242455,36.081663,128.250762,김천시,200,segment,1.0,가로수길 표준데이터 수종분류
A6,강변조각공원길,36.126956,128.124741,36.131714,128.081891,김천시,520,segment,1.0,가로수길 표준데이터 수종분류
A6,아포작동길,36.165446,128.220427,36.169704,128.219549,김천시,140,segment,1.0,가로수길 표준데이터 수종분류
A6,지방도913호,36.175772,128.159998,36.153733,128.150368,김천시,365,segment,1.0,가로수길 표준데이터 수종분류
A6,혁신도시 혁신로,36.121184,128.187801,36.120618,128.195016,김천시,2667,segment,1.0,가로수길 표준데이터 수종분류
A6,조각공원길,36.131086,128.122497,36.126974,128.130505,김천시,42,segment,0.0,가로수길 표준데이터 수종분류
A6,증산로,35.917792,127.978105,35.899308,127.996002,김천시,452,segment,0.0,가로수길 표준데이터 수종분류
A6,증산로,35.901479,128.035306,35.890096,128.003984,김천시,319,segment,1.0,가로수길 표준데이터 수종분류
A6,직지사길,36.114199,128.016738,36.115207,128.003659,김천시,60,segment,1.0,가로수길 표준데이터 수종분류
A6,한지3길,36.158986,128.259174,36.156989,128.266417,김천시,65,segment,0.0,가로수길 표준데이터 수종분류
A6,혁신도시 진입로,36.128994,128.180435,36.103591,128.183444,김천시,256,segment,0.0,가로수길 표준데이터 수종분류
A6,환경로,36.125061,128.129687,36.130271,128.135658,김천시,161,segment,0.0,가로수길 표준데이터 수종분류
A6,황산로,36.124834,128.130291,36.118361,128.144281,김천시,170,segment,0.0,가로수길 표준데이터 수종분류
A6,황악로,36.129512,128.024264,36.114199,128.016738,김천시,375,segment,0.5,가로수길 표준데이터 수종분류
A6,황악로,36.133791,128.034874,36.129512,128.024264,김천시,149,segment,0.5,가로수길 표준데이터 수종분류
A6,영남대로,36.118361,128.144281,36.115709,128.154761,김천시,167,segment,1.0,가로수길 표준데이터 수종분류
A6,영남대로,36.129787,128.100698,36.127835,128.095297,김천시,134,segment,1.0,가로수길 표준데이터 수종분류
A6,영남대로,36.126956,128.124741,36.129787,128.100698,김천시,125,segment,1.0,가로수길 표준데이터 수종분류
A6,영남대로,36.129704,128.118253,36.126956,128.124741,김천시,139,segment,1.0,가로수길 표준데이터 수종분류
A6,영남대로,36.118838,128.147151,36.113525,128.159557,김천시,238,segment,0.0,가로수길 표준데이터 수종분류
A6,영남대로,36.134373,128.035471,36.162242,128.021387,김천시,358,segment,1.0,가로수길 표준데이터 수종분류
A6,영남대로,36.186321,128.010346,36.180847,128.011019,김천시,416,segment,1.0,가로수길 표준데이터 수종분류
A6,영남대로,36.174386,128.015584,36.199161,128.007578,김천시,402,segment,1.0,가로수길 표준데이터 수종분류
A6,영남대로,36.199161,128.007578,36.207079,128.004691,김천시,402,segment,1.0,가로수길 표준데이터 수종분류
A6,영남대로,36.124639,128.085014,36.128571,128.067141,김천시,250,segment,1.0,가로수길 표준데이터 수종분류
A6,영남대로,36.207079,128.004691,36.180847,128.011019,김천시,361,segment,1.0,가로수길 표준데이터 수종분류
A6,영남대로,36.180847,128.011019,36.186321,128.010346,김천시,442,segment,1.0,가로수길 표준데이터 수종분류
A6,감문로,36.213894,128.181808,36.191921,128.228495,김천시,301,segment,0.0,가로수길 표준데이터 수종분류
A6,"강변,조각공원길",36.139898,128.113649,36.139898,128.113649,김천시,190,segment,1.0,가로수길 표준데이터 수종분류
A6,거문들1길,36.139898,128.113649,36.139898,128.113649,김천시,113,segment,1.0,가로수길 표준데이터 수종분류
A6,황악로,36.139898,128.113649,36.139898,128.113649,김천시,100,segment,1.0,가로수길 표준데이터 수종분류
A6,아포대로,36.139898,128.113649,36.139898,128.113649,김천시,117,segment,1.0,가로수길 표준데이터 수종분류
A6,외현천,36.139898,128.113649,36.139898,128.113649,김천시,115,segment,1.0,가로수길 표준데이터 수종분류
A6,구도로,36.139898,128.113649,36.139898,128.113649,김천시,170,segment,1.0,가로수길 표준데이터 수종분류
A6,대신지구진입로,36.139898,128.113649,36.139898,128.113649,김천시,349,segment,1.0,가로수길 표준데이터 수종분류
A6,도시계획도로,36.139898,128.113649,36.139898,128.113649,김천시,47,segment,1.0,가로수길 표준데이터 수종분류
A6,율곡천,36.139898,128.113649,36.139898,128.113649,김천시,675,segment,1.0,가로수길 표준데이터 수종분류
A6,국도대체우회도로,36.139898,128.113649,36.139898,128.113649,김천시,140,segment,0.0,가로수길 표준데이터 수종분류
A6,도시계획도로,36.139898,128.113649,36.139898,128.113649,김천시,101,segment,1.0,가로수길 표준데이터 수종분류
A6,국도대체우회도로,36.139898,128.113649,36.139898,128.113649,김천시,315,segment,0.0,가로수길 표준데이터 수종분류
A6,김천희망대로,36.139898,128.113649,36.139898,128.113649,김천시,1032,segment,0.5,가로수길 표준데이터 수종분류
A6,시도,36.139898,128.113649,36.139898,128.113649,김천시,411,segment,1.0,가로수길 표준데이터 수종분류
A6,시도,36.139898,128.113649,36.139898,128.113649,김천시,148,segment,1.0,가로수길 표준데이터 수종분류
A6,국도59호선,36.139898,128.113649,36.139898,128.113649,김천시,298,segment,1.0,가로수길 표준데이터 수종분류
A6,혁신도시 해오름로,36.119419,128.172294,36.115995,128.174899,김천시,445,segment,1.0,가로수길 표준데이터 수종분류
A6,도시계획도로,36.147552,128.119168,36.148659,128.116822,김천시,15,segment,1.0,가로수길 표준데이터 수종분류
A6,서주길(와룡면),36.5945804,128.7426516,36.5946809,128.7425533,안동시,227,segment,0.0,가로수길 표준데이터 수종분류
A6,태리금산교,36.6389861,128.7411806,36.6390451,128.7414615,안동시,40,segment,0.0,가로수길 표준데이터 수종분류
A6,"호반로(상아동,와룡면)",36.5875884,128.7768174,36.5877844,128.7769672,안동시,2062,segment,1.0,가로수길 표준데이터 수종분류
A6,산북로(북후면),36.6735896,128.6393115,36.6741728,128.6394917,안동시,167,segment,1.0,가로수길 표준데이터 수종분류
A6,풍산태사로(서후면),36.6121887,128.6662874,36.6115452,128.666553,안동시,354,segment,1.0,가로수길 표준데이터 수종분류
A6,풍산태사로(서후면),36.607316,128.6558113,36.6080524,128.6566318,안동시,115,segment,1.0,가로수길 표준데이터 수종분류
A6,가곡로(풍천면),36.573121,128.5170956,36.5728438,128.5176376,안동시,293,segment,0.0,가로수길 표준데이터 수종분류
A6,섬마을2길(풍천면),36.5339104,128.4568501,36.534726,128.4594112,안동시,61,segment,0.0,가로수길 표준데이터 수종분류
A6,도청대로(풍천면),36.5791024,128.515805,36.5812721,128.5201934,안동시,870,segment,0.667,가로수길 표준데이터 수종분류
A6,병산길(풍천면),36.5413998,128.55586,36.5415839,128.5562545,안동시,426,segment,0.0,가로수길 표준데이터 수종분류
A6,"인금길, 월애길(풍천면)",36.5351175,128.5497828,36.534494,128.548531,안동시,262,segment,0.0,가로수길 표준데이터 수종분류
A6,전서로(풍천면),36.5401857,128.520762,36.5401653,128.5216549,안동시,275,segment,0.0,가로수길 표준데이터 수종분류
