feature_id,name,lat,lon,value,group_id,seq,sigungu,geom,source
A4,방벽,35.967148,129.552544,방벽,287,0,포항시,polyline_point,국립해양조사원 해안선 2026
A4,방벽,35.967241,129.552704,방벽,287,1,포항시,polyline_point,국립해양조사원 해안선 2026
A4,방벽,35.967311,129.552839,방벽,287,2,포항시,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.078768,129.567027,방벽,306,0,포항시,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.078973,129.566345,방벽,306,1,포항시,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.939619,129.420787,방벽,331,0,울진군,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.939512,129.420767,방벽,331,1,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.404859,129.423813,암반,348,0,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.404777,129.423947,암반,348,1,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.404763,129.423786,암반,348,2,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,암반,35.664934,129.459971,암반,380,0,경주시,polyline_point,국립해양조사원 해안선 2026
A4,암반,35.664934,129.459971,암반,380,1,경주시,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.241115,129.383668,방벽,407,0,포항시,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.241158,129.383419,방벽,407,1,포항시,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.241225,129.383273,방벽,407,2,포항시,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.241221,129.383229,방벽,407,3,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.096353,129.427657,자갈,451,0,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.096262,129.427526,자갈,451,1,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.096186,129.427345,자갈,451,2,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.096077,129.427146,자갈,451,3,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.095947,129.42701,자갈,451,4,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.095779,129.426967,자갈,451,5,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.095639,129.427036,자갈,451,6,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.095525,129.427139,자갈,451,7,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.095378,129.427053,자갈,451,8,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.095299,129.426913,자갈,451,9,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.095223,129.426765,자갈,451,10,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.095158,129.426616,자갈,451,11,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.09513,129.4265,자갈,451,12,포항시,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.016205,129.583576,방벽,506,0,포항시,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.016201,129.583539,방벽,506,1,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.733033,129.48583,모래,574,0,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.732831,129.485801,모래,574,1,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.73268,129.485791,모래,574,2,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.732525,129.485814,모래,574,3,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.732383,129.485868,모래,574,4,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.732248,129.485937,모래,574,5,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.732093,129.48601,모래,574,6,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.731893,129.486001,모래,574,7,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.731714,129.485964,모래,574,8,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.731464,129.485928,모래,574,9,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.731325,129.485917,모래,574,10,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.731141,129.48591,모래,574,11,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.730976,129.485908,모래,574,12,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.730721,129.485914,모래,574,13,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.730551,129.485935,모래,574,14,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.730394,129.485963,모래,574,15,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.730256,129.486005,모래,574,16,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.730224,129.486023,모래,574,17,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.811205,129.456674,모래,589,0,울진군,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.811337,129.456738,모래,589,1,울진군,polyline_point,국립해양조사원 해안선 2026
